round,date,team_home,team_away,full_text
Round 12,04.12.2024,Korhogo,Stella Adjame,04.12.2024 | Korhogo | Stella Adjame | 1 | 4
Round 12,03.12.2024,AS Denguele,Zoman,03.12.2024 | AS Denguele | Zoman | 1 | 2
Round 11,01.12.2024,ISCA,SO Armee,01.12.2024 | ISCA | SO Armee | 0 | 1
Round 11,01.12.2024,Olympique Sport,Korhogo,01.12.2024 | Olympique Sport | Korhogo | 0 | 2
Round 11,01.12.2024,San Pedro,Academie de FAD,01.12.2024 | San Pedro | Academie de FAD | 2 | 3
Round 11,01.12.2024,SOL,ASEC Mimosas,01.12.2024 | SOL | ASEC Mimosas | 1 | 1
Round 11,01.12.2024,Stade d'Abidjan,Bouake,01.12.2024 | Stade d'Abidjan | Bouake | 0 | 2
Round 11,30.11.2024,Lys Sassandra,AS Denguele,30.11.2024 | Lys Sassandra | AS Denguele | 1 | 0
Round 11,30.11.2024,Stella Adjame,Mouna,30.11.2024 | Stella Adjame | Mouna | 1 | 1
Round 11,28.11.2024,Zoman,Racing d'Abidjan,28.11.2024 | Zoman | Racing d'Abidjan | 2 | 1
Round 10,22.11.2024,AS Denguele,San Pedro,22.11.2024 | AS Denguele | San Pedro | 0 | 1
Round 10,22.11.2024,ASEC Mimosas,ISCA,22.11.2024 | ASEC Mimosas | ISCA | 1 | 1
Round 10,22.11.2024,Bouake,Stella Adjame,22.11.2024 | Bouake | Stella Adjame | 1 | 3
Round 10,22.11.2024,Mouna,Zoman,22.11.2024 | Mouna | Zoman | 1 | 2
Round 10,22.11.2024,SO Armee,Olympique Sport,22.11.2024 | SO Armee | Olympique Sport | 0 | 0
Round 10,18.11.2024,Academie de FAD,Lys Sassandra,18.11.2024 | Academie de FAD | Lys Sassandra | 0 | 0
Round 10,17.11.2024,Racing d'Abidjan,SOL,17.11.2024 | Racing d'Abidjan | SOL | 1 | 5
Round 9,14.11.2024,SOL,Mouna,14.11.2024 | SOL | Mouna | 1 | 2
Round 9,14.11.2024,Lys Sassandra,SO Armee,14.11.2024 | Lys Sassandra | SO Armee | 0 | 0
Round 9,14.11.2024,Racing d'Abidjan,Korhogo,14.11.2024 | Racing d'Abidjan | Korhogo | 1 | 0
Round 9,14.11.2024,San Pedro,ASEC Mimosas,14.11.2024 | San Pedro | ASEC Mimosas | 0 | 1
Round 9,14.11.2024,Stade d'Abidjan,Stella Adjame,14.11.2024 | Stade d'Abidjan | Stella Adjame | 0 | 0
Round 9,13.11.2024,Olympique Sport,Bouake,13.11.2024 | Olympique Sport | Bouake | 0 | 0
Round 9,13.11.2024,Academie de FAD,AS Denguele,13.11.2024 | Academie de FAD | AS Denguele | 2 | 0
Round 9,13.11.2024,ISCA,Zoman,13.11.2024 | ISCA | Zoman | 1 | 1
Round 8,10.11.2024,ASEC Mimosas,Stade d'Abidjan,10.11.2024 | ASEC Mimosas | Stade d'Abidjan | 0 | 1
Round 8,10.11.2024,Korhogo,Lys Sassandra,10.11.2024 | Korhogo | Lys Sassandra | 0 | 0
Round 8,10.11.2024,Stella Adjame,ISCA,10.11.2024 | Stella Adjame | ISCA | 2 | 1
Round 8,08.11.2024,SO Armee,Academie de FAD,08.11.2024 | SO Armee | Academie de FAD | 0 | 2
Round 8,08.11.2024,AS Denguele,SOL,08.11.2024 | AS Denguele | SOL | 1 | 1
Round 8,08.11.2024,Bouake,Racing d'Abidjan,08.11.2024 | Bouake | Racing d'Abidjan | 0 | 0
Round 8,08.11.2024,Mouna,Olympique Sport,08.11.2024 | Mouna | Olympique Sport | 2 | 0
Round 8,08.11.2024,Zoman,San Pedro,08.11.2024 | Zoman | San Pedro | 4 | 1
Round 2,06.11.2024,Stade d'Abidjan,ISCA,06.11.2024 | Stade d'Abidjan | ISCA | 2 | 1
Round 7,03.11.2024,SOL,Korhogo,03.11.2024 | SOL | Korhogo | 0 | 1
Round 7,03.11.2024,Zoman,ASEC Mimosas,03.11.2024 | Zoman | ASEC Mimosas | 1 | 0
Round 7,02.11.2024,Olympique Sport,Stella Adjame,02.11.2024 | Olympique Sport | Stella Adjame | 0 | 1
Round 7,02.11.2024,San Pedro,ISCA,02.11.2024 | San Pedro | ISCA | 0 | 0
Round 7,02.11.2024,Bouake,Academie de FAD,02.11.2024 | Bouake | Academie de FAD | 0 | 0
Round 7,02.11.2024,Lys Sassandra,Mouna,02.11.2024 | Lys Sassandra | Mouna | 1 | 1
Round 7,02.11.2024,Racing d'Abidjan,SO Armee,02.11.2024 | Racing d'Abidjan | SO Armee | 0 | 0
Round 7,01.11.2024,Stade d'Abidjan,AS Denguele,01.11.2024 | Stade d'Abidjan | AS Denguele | 1 | 0
Round 1,29.10.2024,ISCA,Olympique Sport,29.10.2024 | ISCA | Olympique Sport | 0 | 1
Round 6,27.10.2024,Stade d'Abidjan,SOL,27.10.2024 | Stade d'Abidjan | SOL | 1 | 0
Round 6,27.10.2024,ASEC Mimosas,Mouna,27.10.2024 | ASEC Mimosas | Mouna | 1 | 1
Round 6,27.10.2024,Korhogo,Bouake,27.10.2024 | Korhogo | Bouake | 0 | 0
Round 6,26.10.2024,AS Denguele,Racing d'Abidjan,26.10.2024 | AS Denguele | Racing d'Abidjan | 4 | 1
Round 6,26.10.2024,SO Armee,Zoman,26.10.2024 | SO Armee | Zoman | 1 | 1
Round 6,26.10.2024,Stella Adjame,San Pedro,26.10.2024 | Stella Adjame | San Pedro | 1 | 0
Round 6,25.10.2024,Academie de FAD,Olympique Sport,25.10.2024 | Academie de FAD | Olympique Sport | 0 | 0
Round 6,25.10.2024,ISCA,Lys Sassandra,25.10.2024 | ISCA | Lys Sassandra | 2 | 0
Round 5,20.10.2024,SOL,San Pedro,20.10.2024 | SOL | San Pedro | 0 | 1
Round 5,20.10.2024,Bouake,ISCA,20.10.2024 | Bouake | ISCA | 1 | 1
Round 5,20.10.2024,Korhogo,SO Armee,20.10.2024 | Korhogo | SO Armee | 0 | 2
Round 5,20.10.2024,Zoman,Academie de FAD,20.10.2024 | Zoman | Academie de FAD | 0 | 2
Round 5,19.10.2024,Lys Sassandra,Stella Adjame,19.10.2024 | Lys Sassandra | Stella Adjame | 1 | 1
Round 5,19.10.2024,Mouna,AS Denguele,19.10.2024 | Mouna | AS Denguele | 1 | 1
Round 5,18.10.2024,Racing d'Abidjan,ASEC Mimosas,18.10.2024 | Racing d'Abidjan | ASEC Mimosas | 1 | 2
Round 5,18.10.2024,Olympique Sport,Stade d'Abidjan,18.10.2024 | Olympique Sport | Stade d'Abidjan | 2 | 3
Round 4,13.10.2024,Stade d'Abidjan,SO Armee,13.10.2024 | Stade d'Abidjan | SO Armee | 0 | 1
Round 4,13.10.2024,Lys Sassandra,Bouake,13.10.2024 | Lys Sassandra | Bouake | 1 | 0
Round 4,13.10.2024,Olympique Sport,AS Denguele,13.10.2024 | Olympique Sport | AS Denguele | 3 | 1
Round 4,13.10.2024,San Pedro,Mouna,13.10.2024 | San Pedro | Mouna | 0 | 1
Round 4,13.10.2024,SOL,Zoman,13.10.2024 | SOL | Zoman | 1 | 0
Round 4,12.10.2024,Stella Adjame,ASEC Mimosas,12.10.2024 | Stella Adjame | ASEC Mimosas | 0 | 0
Round 4,12.10.2024,Academie de FAD,Korhogo,12.10.2024 | Academie de FAD | Korhogo | 1 | 0
Round 4,12.10.2024,ISCA,Racing d'Abidjan,12.10.2024 | ISCA | Racing d'Abidjan | 1 | 0
Round 3,06.10.2024,Zoman,Stella Adjame,06.10.2024 | Zoman | Stella Adjame | 1 | 1
Round 3,06.10.2024,AS Denguele,Korhogo,06.10.2024 | AS Denguele | Korhogo | 1 | 0
Round 3,06.10.2024,Racing d'Abidjan,Stade d'Abidjan,06.10.2024 | Racing d'Abidjan | Stade d'Abidjan | 0 | 1
Round 3,06.10.2024,San Pedro,Lys Sassandra,06.10.2024 | San Pedro | Lys Sassandra | 1 | 2
Round 3,05.10.2024,Mouna,Academie de FAD,05.10.2024 | Mouna | Academie de FAD | 0 | 2
Round 3,05.10.2024,ASEC Mimosas,Olympique Sport,05.10.2024 | ASEC Mimosas | Olympique Sport | 1 | 0
Round 3,05.10.2024,SO Armee,Bouake,05.10.2024 | SO Armee | Bouake | 1 | 1
Round 1,03.10.2024,San Pedro,Stade d'Abidjan,03.10.2024 | San Pedro | Stade d'Abidjan | 4 | 0
Round 2,29.09.2024,Academie de FAD,ASEC Mimosas,29.09.2024 | Academie de FAD | ASEC Mimosas | 2 | 0
Round 2,29.09.2024,Korhogo,San Pedro,29.09.2024 | Korhogo | San Pedro | 0 | 5
Round 2,29.09.2024,Olympique Sport,Zoman,29.09.2024 | Olympique Sport | Zoman | 1 | 1
Round 2,28.09.2024,Bouake,AS Denguele,28.09.2024 | Bouake | AS Denguele | 1 | 0
Round 2,28.09.2024,Lys Sassandra,SOL,28.09.2024 | Lys Sassandra | SOL | 0 | 1
Round 2,28.09.2024,SO Armee,Mouna,28.09.2024 | SO Armee | Mouna | 1 | 2
Round 2,28.09.2024,Stella Adjame,Racing d'Abidjan,28.09.2024 | Stella Adjame | Racing d'Abidjan | 1 | 1
Round 1,25.09.2024,Racing d'Abidjan,Academie de FAD,25.09.2024 | Racing d'Abidjan | Academie de FAD | 1 | 2
Round 1,25.09.2024,ASEC Mimosas,Korhogo,25.09.2024 | ASEC Mimosas | Korhogo | 3 | 1
Round 1,21.09.2024,Zoman,Lys Sassandra,21.09.2024 | Zoman | Lys Sassandra | 0 | 3
Round 1,21.09.2024,AS Denguele,SO Armee,21.09.2024 | AS Denguele | SO Armee | 3 | 1
Round 1,21.09.2024,Mouna,Bouake,21.09.2024 | Mouna | Bouake | 1 | 1
Round 1,20.09.2024,SOL,Stella Adjame,20.09.2024 | SOL | Stella Adjame | 1 | 1
