round,date,team_home,team_away,full_text
Round 9,23.09.2024,FC Copenhagen,Aalborg,23.09.2024 | FC Copenhagen | Aalborg | 2 | 0
Round 9,22.09.2024,Silkeborg,Brondby,22.09.2024 | Silkeborg | Brondby | 3 | 3
Round 9,22.09.2024,Lyngby,Aarhus,22.09.2024 | Lyngby | Aarhus | 0 | 0
Round 9,22.09.2024,Randers FC,Midtjylland,22.09.2024 | Randers FC | Midtjylland | 2 | 2
Round 9,22.09.2024,Sonderjyske,Vejle,22.09.2024 | Sonderjyske | Vejle | 2 | 1
Round 9,20.09.2024,Viborg,Nordsjaelland,20.09.2024 | Viborg | Nordsjaelland | 3 | 2
Round 8,16.09.2024,Nordsjaelland,Randers FC,16.09.2024 | Nordsjaelland | Randers FC | 1 | 1
Round 8,15.09.2024,Brondby,Sonderjyske,15.09.2024 | Brondby | Sonderjyske | 2 | 0
Round 8,15.09.2024,Vejle,Viborg,15.09.2024 | Vejle | Viborg | 0 | 5
Round 8,15.09.2024,Aarhus,Silkeborg,15.09.2024 | Aarhus | Silkeborg | 1 | 1
Round 8,14.09.2024,Midtjylland,FC Copenhagen,14.09.2024 | Midtjylland | FC Copenhagen | 2 | 1
Round 8,13.09.2024,Aalborg,Lyngby,13.09.2024 | Aalborg | Lyngby | 2 | 1
Round 7,01.09.2024,Randers FC,Aalborg,01.09.2024 | Randers FC | Aalborg | 1 | 0
Round 7,01.09.2024,Silkeborg,Midtjylland,01.09.2024 | Silkeborg | Midtjylland | 1 | 3
Round 7,01.09.2024,FC Copenhagen,Brondby,01.09.2024 | FC Copenhagen | Brondby | 3 | 1
Round 7,01.09.2024,Sonderjyske,Viborg,01.09.2024 | Sonderjyske | Viborg | 2 | 2
Round 7,31.08.2024,Aarhus,Nordsjaelland,31.08.2024 | Aarhus | Nordsjaelland | 4 | 2
Round 7,30.08.2024,Lyngby,Vejle,30.08.2024 | Lyngby | Vejle | 1 | 0
Round 6,26.08.2024,Viborg,Lyngby,26.08.2024 | Viborg | Lyngby | 1 | 0
Round 6,25.08.2024,Brondby,Randers FC,25.08.2024 | Brondby | Randers FC | 2 | 2
Round 6,25.08.2024,Nordsjaelland,FC Copenhagen,25.08.2024 | Nordsjaelland | FC Copenhagen | 3 | 2
Round 6,25.08.2024,Vejle,Silkeborg,25.08.2024 | Vejle | Silkeborg | 1 | 3
Round 6,24.08.2024,Midtjylland,Sonderjyske,24.08.2024 | Midtjylland | Sonderjyske | 3 | 2
Round 6,23.08.2024,Aalborg,Aarhus,23.08.2024 | Aalborg | Aarhus | 0 | 4
Round 5,19.08.2024,Aarhus,Vejle,19.08.2024 | Aarhus | Vejle | 5 | 1
Round 5,18.08.2024,Aalborg,Brondby,18.08.2024 | Aalborg | Brondby | 0 | 4
Round 5,18.08.2024,FC Copenhagen,Viborg,18.08.2024 | FC Copenhagen | Viborg | 1 | 1
Round 5,18.08.2024,Randers FC,Sonderjyske,18.08.2024 | Randers FC | Sonderjyske | 1 | 2
Round 5,18.08.2024,Silkeborg,Nordsjaelland,18.08.2024 | Silkeborg | Nordsjaelland | 4 | 1
Round 5,16.08.2024,Lyngby,Midtjylland,16.08.2024 | Lyngby | Midtjylland | 1 | 2
Round 4,12.08.2024,Viborg,Aalborg,12.08.2024 | Viborg | Aalborg | 2 | 3
Round 4,11.08.2024,Sonderjyske,FC Copenhagen,11.08.2024 | Sonderjyske | FC Copenhagen | 0 | 2
Round 4,11.08.2024,Brondby,Aarhus,11.08.2024 | Brondby | Aarhus | 0 | 1
Round 4,11.08.2024,Nordsjaelland,Lyngby,11.08.2024 | Nordsjaelland | Lyngby | 1 | 1
Round 4,11.08.2024,Randers FC,Silkeborg,11.08.2024 | Randers FC | Silkeborg | 0 | 2
Round 4,09.08.2024,Midtjylland,Vejle,09.08.2024 | Midtjylland | Vejle | 2 | 0
Round 3,05.08.2024,Vejle,Nordsjaelland,05.08.2024 | Vejle | Nordsjaelland | 0 | 1
Round 3,04.08.2024,Lyngby,Brondby,04.08.2024 | Lyngby | Brondby | 0 | 2
Round 3,04.08.2024,FC Copenhagen,Randers FC,04.08.2024 | FC Copenhagen | Randers FC | 1 | 1
Round 3,04.08.2024,Silkeborg,Viborg,04.08.2024 | Silkeborg | Viborg | 3 | 2
Round 3,03.08.2024,Midtjylland,Aalborg,03.08.2024 | Midtjylland | Aalborg | 2 | 0
Round 3,02.08.2024,Aarhus,Sonderjyske,02.08.2024 | Aarhus | Sonderjyske | 4 | 0
Round 2,29.07.2024,Brondby,Vejle,29.07.2024 | Brondby | Vejle | 2 | 1
Round 2,28.07.2024,FC Copenhagen,Aarhus,28.07.2024 | FC Copenhagen | Aarhus | 3 | 2
Round 2,28.07.2024,Aalborg,Silkeborg,28.07.2024 | Aalborg | Silkeborg | 2 | 1
Round 2,28.07.2024,Randers FC,Viborg,28.07.2024 | Randers FC | Viborg | 3 | 1
Round 2,27.07.2024,Nordsjaelland,Midtjylland,27.07.2024 | Nordsjaelland | Midtjylland | 2 | 2
Round 2,26.07.2024,Sonderjyske,Lyngby,26.07.2024 | Sonderjyske | Lyngby | 1 | 1
Round 1,22.07.2024,Lyngby,FC Copenhagen,22.07.2024 | Lyngby | FC Copenhagen | 0 | 2
Round 1,21.07.2024,Viborg,Brondby,21.07.2024 | Viborg | Brondby | 3 | 3
Round 1,21.07.2024,Vejle,Randers FC,21.07.2024 | Vejle | Randers FC | 2 | 3
Round 1,21.07.2024,Silkeborg,Sonderjyske,21.07.2024 | Silkeborg | Sonderjyske | 1 | 0
Round 1,19.07.2024,Nordsjaelland,Aalborg,19.07.2024 | Nordsjaelland | Aalborg | 3 | 0
Round 1,19.07.2024,Aarhus,Midtjylland,19.07.2024 | Aarhus | Midtjylland | 1 | 1
