round,date,team_home,team_away,full_text
Final,01.06.2025,Napredak,Winner: Napredak,01.06.2025 | Napredak | Winner: Napredak | Mladost GAT | 1 | 0
Round 28,16.03.2025,OFK Beograd Mozzart Bet,Vojvodina,16.03.2025 | OFK Beograd Mozzart Bet | Vojvodina | 3 | 1
Round 28,16.03.2025,Crvena zvezda,Sp. Subotica,16.03.2025 | Crvena zvezda | Sp. Subotica | 2 | 1
Round 28,16.03.2025,TSC,Napredak,16.03.2025 | TSC | Napredak | 4 | 2
Round 28,15.03.2025,Tekstilac Odzaci,IMT Novi Beograd,15.03.2025 | Tekstilac Odzaci | IMT Novi Beograd | 1 | 2
Round 28,14.03.2025,Jedinstvo U.,Radnicki 1923,14.03.2025 | Jedinstvo U. | Radnicki 1923 | 2 | 2
Round 24,12.03.2025,OFK Beograd Mozzart Bet,Zeleznicar Pancevo,12.03.2025 | OFK Beograd Mozzart Bet | Zeleznicar Pancevo | 1 | 2
Round 27,09.03.2025,Vojvodina,Jedinstvo U.,09.03.2025 | Vojvodina | Jedinstvo U. | 1 | 0
Round 27,09.03.2025,IMT Novi Beograd,Mladost,09.03.2025 | IMT Novi Beograd | Mladost | 3 | 0
Round 27,08.03.2025,Radnicki 1923,TSC,08.03.2025 | Radnicki 1923 | TSC | 1 | 3
Round 27,08.03.2025,Partizan,Novi Pazar,08.03.2025 | Partizan | Novi Pazar | 3 | 2
Round 27,08.03.2025,Radnicki Nis,Crvena zvezda,08.03.2025 | Radnicki Nis | Crvena zvezda | 0 | 3
Round 27,08.03.2025,Napredak,Cukaricki,08.03.2025 | Napredak | Cukaricki | 2 | 1
Round 27,07.03.2025,Zeleznicar Pancevo,Tekstilac Odzaci,07.03.2025 | Zeleznicar Pancevo | Tekstilac Odzaci | 3 | 0
Round 27,07.03.2025,Sp. Subotica,OFK Beograd Mozzart Bet,07.03.2025 | Sp. Subotica | OFK Beograd Mozzart Bet | 0 | 1
Round 26,03.03.2025,Cukaricki,Radnicki 1923,03.03.2025 | Cukaricki | Radnicki 1923 | 1 | 1
Round 26,03.03.2025,Mladost,Zeleznicar Pancevo,03.03.2025 | Mladost | Zeleznicar Pancevo | 1 | 1
Round 26,03.03.2025,Novi Pazar,Napredak,03.03.2025 | Novi Pazar | Napredak | 2 | 0
Round 26,03.03.2025,Jedinstvo U.,TSC,03.03.2025 | Jedinstvo U. | TSC | 4 | 1
Round 26,02.03.2025,Vojvodina,Sp. Subotica,02.03.2025 | Vojvodina | Sp. Subotica | 1 | 3
Round 26,02.03.2025,Crvena zvezda,IMT Novi Beograd,02.03.2025 | Crvena zvezda | IMT Novi Beograd | 4 | 0
Round 26,02.03.2025,Tekstilac Odzaci,Partizan,02.03.2025 | Tekstilac Odzaci | Partizan | 1 | 4
Round 26,02.03.2025,OFK Beograd Mozzart Bet,Radnicki Nis,02.03.2025 | OFK Beograd Mozzart Bet | Radnicki Nis | 2 | 0
Round 25,27.02.2025,TSC,Cukaricki,27.02.2025 | TSC | Cukaricki | 2 | 1
Round 25,27.02.2025,Radnicki 1923,Novi Pazar,27.02.2025 | Radnicki 1923 | Novi Pazar | 2 | 0
Round 25,27.02.2025,Napredak,Tekstilac Odzaci,27.02.2025 | Napredak | Tekstilac Odzaci | 1 | 1
Round 25,26.02.2025,IMT Novi Beograd,OFK Beograd Mozzart Bet,26.02.2025 | IMT Novi Beograd | OFK Beograd Mozzart Bet | 1 | 1
Round 25,26.02.2025,Radnicki Nis,Vojvodina,26.02.2025 | Radnicki Nis | Vojvodina | 1 | 4
Round 25,26.02.2025,Partizan,Mladost,26.02.2025 | Partizan | Mladost | 2 | 0
Round 25,26.02.2025,Zeleznicar Pancevo,Crvena zvezda,26.02.2025 | Zeleznicar Pancevo | Crvena zvezda | 1 | 3
Round 25,26.02.2025,Sp. Subotica,Jedinstvo U.,26.02.2025 | Sp. Subotica | Jedinstvo U. | 1 | 0
Round 24,24.02.2025,Novi Pazar,TSC,24.02.2025 | Novi Pazar | TSC | 2 | 1
Round 24,23.02.2025,Jedinstvo U.,Cukaricki,23.02.2025 | Jedinstvo U. | Cukaricki | 0 | 1
Round 24,23.02.2025,Mladost,Napredak,23.02.2025 | Mladost | Napredak | 1 | 0
Round 24,22.02.2025,Crvena zvezda,Partizan,22.02.2025 | Crvena zvezda | Partizan | 3 | 3
