round,date,team_home,team_away,full_text
Round 1,05.10.2025,U. Catolica,LDU Quito,05.10.2025 | U. Catolica | LDU Quito | 2 | 2
Round 1,04.10.2025,Emelec,Dep. Cuenca,04.10.2025 | Emelec | Dep. Cuenca | 3 | 1
Round 1,04.10.2025,Delfin,EL Nacional,04.10.2025 | Delfin | EL Nacional | 2 | 2
Round 30,28.09.2025,Ind. del Valle,Delfin,28.09.2025 | Ind. del Valle | Delfin | 0 | 0
Round 30,28.09.2025,Libertad,Vinotinto,28.09.2025 | Libertad | Vinotinto | 1 | 0
Round 30,28.09.2025,Orense,Emelec,28.09.2025 | Orense | Emelec | 0 | 0
Round 30,28.09.2025,Tecnico U.,LDU Quito,28.09.2025 | Tecnico U. | LDU Quito | 1 | 3
Round 30,28.09.2025,U. Catolica,Dep. Cuenca,28.09.2025 | U. Catolica | Dep. Cuenca | 2 | 1
Round 30,28.09.2025,Barcelona SC,Aucas,28.09.2025 | Barcelona SC | Aucas | 1 | 1
Round 30,27.09.2025,EL Nacional,Mushuc Runa,27.09.2025 | EL Nacional | 2 | Mushuc Runa | 0 | 5
Round 30,27.09.2025,Manta,Macara,27.09.2025 | Manta | Macara | 1 | 3
Round 29,21.09.2025,Aucas,Orense,21.09.2025 | Aucas | Orense | 0 | 0
Round 29,21.09.2025,Dep. Cuenca,Barcelona SC,21.09.2025 | Dep. Cuenca | Barcelona SC | 0 | 1
Round 29,21.09.2025,Emelec,EL Nacional,21.09.2025 | Emelec | EL Nacional | 4 | 0
Round 29,21.09.2025,LDU Quito,U. Catolica,21.09.2025 | LDU Quito | U. Catolica | 2 | 4
Round 29,21.09.2025,Macara,Libertad,21.09.2025 | Macara | Libertad | 1 | 1
Round 29,20.09.2025,Delfin,Tecnico U.,20.09.2025 | Delfin | Tecnico U. | 0 | 1
Round 29,20.09.2025,Vinotinto,Manta,20.09.2025 | Vinotinto | Manta | 4 | 1
Round 29,20.09.2025,Mushuc Runa,Ind. del Valle,20.09.2025 | Mushuc Runa | Ind. del Valle | 2 | 2
Round 28,16.09.2025,Manta,Aucas,16.09.2025 | Manta | Aucas | 3 | 1 | 1
Round 28,15.09.2025,Emelec,Barcelona SC,15.09.2025 | Emelec | Barcelona SC | 0 | 4
Round 28,14.09.2025,Tecnico U.,Dep. Cuenca,14.09.2025 | Tecnico U. | 2 | Dep. Cuenca | 0 | 2
Round 28,14.09.2025,EL Nacional,Macara,14.09.2025 | EL Nacional | Macara | 0 | 2
Round 28,14.09.2025,Orense,Mushuc Runa,14.09.2025 | Orense | Mushuc Runa | 3 | 1
Round 28,13.09.2025,U. Catolica,Delfin,13.09.2025 | U. Catolica | Delfin | 1 | 1
Round 28,13.09.2025,Ind. del Valle,Vinotinto,13.09.2025 | Ind. del Valle | Vinotinto | 3 | 1
Round 28,13.09.2025,Libertad,LDU Quito,13.09.2025 | Libertad | LDU Quito | 0 | 1
Round 27,02.09.2025,Delfin,Libertad,02.09.2025 | Delfin | Libertad | 0 | 0
Round 27,01.09.2025,Barcelona SC,U. Catolica,01.09.2025 | Barcelona SC | U. Catolica | 2 | 3
Round 27,31.08.2025,Dep. Cuenca,Orense,31.08.2025 | Dep. Cuenca | Orense | 1 | 1
Round 27,31.08.2025,Aucas,Emelec,31.08.2025 | Aucas | Emelec | 1 | 2
Round 27,30.08.2025,LDU Quito,Macara,30.08.2025 | LDU Quito | Macara | 1 | 1
Round 27,30.08.2025,Mushuc Runa,Manta,30.08.2025 | Mushuc Runa | Manta | 2 | 0
Round 27,30.08.2025,Ind. del Valle,Tecnico U.,30.08.2025 | Ind. del Valle | Tecnico U. | 4 | 0
Round 27,30.08.2025,Vinotinto,EL Nacional,30.08.2025 | Vinotinto | EL Nacional | 0 | 1
Round 26,26.08.2025,Orense,Delfin,26.08.2025 | Orense | Delfin | 3 | 1
Round 26,25.08.2025,U. Catolica,Tecnico U.,25.08.2025 | U. Catolica | Tecnico U. | 2 | 0
Round 26,24.08.2025,Emelec,Ind. del Valle,24.08.2025 | Emelec | Ind. del Valle | 0 | 1
Round 26,24.08.2025,EL Nacional,LDU Quito,24.08.2025 | EL Nacional | LDU Quito | 1 | 0
Round 26,24.08.2025,Vinotinto,Barcelona SC,24.08.2025 | Vinotinto | Barcelona SC | 0 | 1
Round 26,23.08.2025,Manta,Dep. Cuenca,23.08.2025 | Manta | Dep. Cuenca | 0 | 1
Round 26,23.08.2025,Macara,Mushuc Runa,23.08.2025 | Macara | Mushuc Runa | 2 | 1
Round 26,23.08.2025,Libertad,Aucas,23.08.2025 | Libertad | Aucas | 3 | 2
Round 25,19.08.2025,Dep. Cuenca,Vinotinto,19.08.2025 | Dep. Cuenca | Vinotinto | 2 | 0
Round 25,18.08.2025,Barcelona SC,Macara,18.08.2025 | Barcelona SC | Macara | 0 | 2
Round 25,17.08.2025,Tecnico U.,Emelec,17.08.2025 | Tecnico U. | 2 | Emelec | 0 | 1
Round 25,17.08.2025,LDU Quito,Manta,17.08.2025 | LDU Quito | Manta | 1 | 1
Round 25,17.08.2025,Ind. del Valle,Orense,17.08.2025 | Ind. del Valle | Orense | 2 | 1
Round 25,16.08.2025,U. Catolica,Libertad,16.08.2025 | U. Catolica | Libertad | 1 | 1
Round 25,16.08.2025,Mushuc Runa,Aucas,16.08.2025 | Mushuc Runa | Aucas | 1 | 0
Round 25,16.08.2025,Delfin,EL Nacional,16.08.2025 | Delfin | EL Nacional | 0 | 3
Round 24,11.08.2025,Emelec,Dep. Cuenca,11.08.2025 | Emelec | Dep. Cuenca | 1 | 1
Round 24,11.08.2025,EL Nacional,Barcelona SC,11.08.2025 | EL Nacional | Barcelona SC | 1 | 2
Round 24,10.08.2025,Macara,Delfin,10.08.2025 | Macara | Delfin | 0 | 0
Round 24,10.08.2025,Vinotinto,Tecnico U.,10.08.2025 | Vinotinto | Tecnico U. | 0 | 1
Round 24,10.08.2025,Manta,Ind. del Valle,10.08.2025 | Manta | Ind. del Valle | 0 | 0
Round 24,09.08.2025,Aucas,LDU Quito,09.08.2025 | Aucas | LDU Quito | 1 | 0
Round 24,09.08.2025,Mushuc Runa,Libertad,09.08.2025 | Mushuc Runa | Libertad | 1 | 2
Round 24,09.08.2025,Orense,U. Catolica,09.08.2025 | Orense | U. Catolica | 1 | 1
Round 23,05.08.2025,Delfin,Vinotinto,05.08.2025 | Delfin | Vinotinto | 3 | 3
Round 23,04.08.2025,Libertad,Emelec,04.08.2025 | Libertad | Emelec | 1 | 2
Round 23,03.08.2025,Tecnico U.,Manta,03.08.2025 | Tecnico U. | Manta | 3 | 1
Round 23,03.08.2025,U. Catolica,Aucas,03.08.2025 | U. Catolica | Aucas | 6 | 2
Round 23,03.08.2025,LDU Quito,Mushuc Runa,03.08.2025 | LDU Quito | Mushuc Runa | 2 | 1
Round 23,03.08.2025,Ind. del Valle,EL Nacional,03.08.2025 | Ind. del Valle | EL Nacional | 1 | 0
Round 23,02.08.2025,Barcelona SC,Orense,02.08.2025 | Barcelona SC | Orense | 2 | 0
Round 23,02.08.2025,Dep. Cuenca,Macara,02.08.2025 | Dep. Cuenca | Macara | 1 | 1
Round 22,28.07.2025,Dep. Cuenca,Ind. del Valle,28.07.2025 | Dep. Cuenca | Ind. del Valle | 0 | 3
