round,date,team_home,team_away,full_text
Round 26,30.03.2025,GKS Katowice,Gornik Zabrze,30.03.2025 | GKS Katowice | Gornik Zabrze | 2 | 1
Round 26,30.03.2025,Motor Lublin,Stal Mielec,30.03.2025 | Motor Lublin | Stal Mielec | 4 | 1
Round 26,30.03.2025,Korona Kielce,Radomiak Radom,30.03.2025 | Korona Kielce | Radomiak Radom | 1 | 3
Round 26,29.03.2025,Slask Wroclaw,Lech Poznan,29.03.2025 | Slask Wroclaw | Lech Poznan | 3 | 1
Round 26,29.03.2025,Lechia Gdansk,Jagiellonia,29.03.2025 | Lechia Gdansk | Jagiellonia | 1 | 0
Round 26,29.03.2025,Cracovia,Puszcza,29.03.2025 | Cracovia | Puszcza | 3 | 1
Round 26,28.03.2025,Legia,Pogon Szczecin,28.03.2025 | Legia | Pogon Szczecin | 0 | 0
Round 26,28.03.2025,Piast Gliwice,Widzew Lodz,28.03.2025 | Piast Gliwice | Widzew Lodz | 0 | 2
Round 25,16.03.2025,Jagiellonia,Lech Poznan,16.03.2025 | Jagiellonia | Lech Poznan | 2 | 1
Round 25,16.03.2025,Rakow,Legia,16.03.2025 | Rakow | Legia | 3 | 2
Round 25,16.03.2025,Zaglebie,Korona Kielce,16.03.2025 | Zaglebie | Korona Kielce | 1 | 1
Round 25,16.03.2025,Puszcza,Piast Gliwice,16.03.2025 | Puszcza | Piast Gliwice | 2 | 1
Round 25,15.03.2025,Widzew Lodz,GKS Katowice,15.03.2025 | Widzew Lodz | GKS Katowice | 1 | 0
Round 25,15.03.2025,Gornik Zabrze,Motor Lublin,15.03.2025 | Gornik Zabrze | Motor Lublin | 4 | 0
Round 25,15.03.2025,Stal Mielec,Slask Wroclaw,15.03.2025 | Stal Mielec | Slask Wroclaw | 1 | 4
Round 25,14.03.2025,Pogon Szczecin,Cracovia,14.03.2025 | Pogon Szczecin | Cracovia | 5 | 2
Round 25,14.03.2025,Radomiak Radom,Lechia Gdansk,14.03.2025 | Radomiak Radom | Lechia Gdansk | 2 | 1
Round 24,10.03.2025,Motor Lublin,Legia,10.03.2025 | Motor Lublin | Legia | 3 | 3
Round 24,09.03.2025,Widzew Lodz,Jagiellonia,09.03.2025 | Widzew Lodz | Jagiellonia | 0 | 1
Round 24,09.03.2025,Lechia Gdansk,Gornik Zabrze,09.03.2025 | Lechia Gdansk | Gornik Zabrze | 1 | 2
Round 24,09.03.2025,GKS Katowice,Zaglebie,09.03.2025 | GKS Katowice | Zaglebie | 1 | 0
Round 24,08.03.2025,Lech Poznan,Stal Mielec,08.03.2025 | Lech Poznan | Stal Mielec | 3 | 1
Round 24,08.03.2025,Piast Gliwice,Rakow,08.03.2025 | Piast Gliwice | Rakow | 0 | 3
