round,date,team_home,team_away,full_text
Round 16,27.02.2025,El Gaish,National Bank Egypt,27.02.2025 | El Gaish | National Bank Egypt | 2 | 2
Round 16,27.02.2025,Smouha,Al Masry,27.02.2025 | Smouha | Al Masry | 0 | 3
Round 16,26.02.2025,El Ismaily,Pharco,26.02.2025 | El Ismaily | Pharco | 0 | 2
Round 16,26.02.2025,Haras El Hodood,Al Ahly,26.02.2025 | Haras El Hodood | Al Ahly | 0 | 1
Round 16,26.02.2025,Modern Sport,El Gouna,26.02.2025 | Modern Sport | El Gouna | 2 | 3
Round 15,23.02.2025,Pyramids,El Gaish,23.02.2025 | Pyramids | El Gaish | 2 | 1
Round 15,23.02.2025,ZED,Ghazl El Mahallah,23.02.2025 | ZED | Ghazl El Mahallah | 2 | 0
Round 15,22.02.2025,Al Ahly,Zamalek,22.02.2025 | Al Ahly | Zamalek | 1 | 1
Round 15,22.02.2025,Al Masry,El Ismaily,22.02.2025 | Al Masry | El Ismaily | 0 | 0
Round 15,22.02.2025,El Gouna,Ceramica Cleopatra,22.02.2025 | El Gouna | Ceramica Cleopatra | 2 | 0
Round 15,21.02.2025,National Bank Egypt,Al Ittihad,21.02.2025 | National Bank Egypt | Al Ittihad | 3 | 2
Round 15,21.02.2025,Petrojet,Haras El Hodood,21.02.2025 | Petrojet | Haras El Hodood | 2 | 2
Round 15,21.02.2025,Enppi,Smouha,21.02.2025 | Enppi | Smouha | 1 | 0
Round 15,21.02.2025,Pharco,Modern Sport,21.02.2025 | Pharco | Modern Sport | 0 | 0
Round 14,18.02.2025,Ghazl El Mahallah,Al Masry,18.02.2025 | Ghazl El Mahallah | Al Masry | 1 | 0
Round 14,18.02.2025,El Gaish,ZED,18.02.2025 | El Gaish | ZED | 1 | 0
Round 14,17.02.2025,Al Ittihad,El Gouna,17.02.2025 | Al Ittihad | El Gouna | 1 | 0
Round 14,17.02.2025,Modern Sport,Pyramids,17.02.2025 | Modern Sport | Pyramids | 0 | 1
Round 14,17.02.2025,Ceramica Cleopatra,Enppi,17.02.2025 | Ceramica Cleopatra | Enppi | 2 | 2
Round 14,16.02.2025,El Ismaily,Al Ahly,16.02.2025 | El Ismaily | Al Ahly | 0 | 4
Round 14,16.02.2025,Haras El Hodood,Pharco,16.02.2025 | Haras El Hodood | Pharco | 2 | 0
Round 14,16.02.2025,Smouha,National Bank Egypt,16.02.2025 | Smouha | National Bank Egypt | 1 | 4
Round 14,16.02.2025,Zamalek,Petrojet,16.02.2025 | Zamalek | Petrojet | 1 | 1
Round 13,13.02.2025,Enppi,Al Ittihad,13.02.2025 | Enppi | Al Ittihad | 1 | 1
Round 13,13.02.2025,Modern Sport,El Gaish,13.02.2025 | Modern Sport | El Gaish | 0 | 0
Round 13,12.02.2025,Al Masry,National Bank Egypt,12.02.2025 | Al Masry | National Bank Egypt | 0 | 0
Round 13,12.02.2025,Pyramids,Haras El Hodood,12.02.2025 | Pyramids | Haras El Hodood | 3 | 0
Round 13,12.02.2025,El Gouna,El Ismaily,12.02.2025 | El Gouna | El Ismaily | 2 | 0
Round 13,12.02.2025,ZED,Ceramica Cleopatra,12.02.2025 | ZED | Ceramica Cleopatra | 1 | 1
Round 13,11.02.2025,Al Ahly,Ghazl El Mahallah,11.02.2025 | Al Ahly | Ghazl El Mahallah | 1 | 0
Round 13,11.02.2025,Petrojet,Smouha,11.02.2025 | Petrojet | Smouha | 0 | 1
Round 13,11.02.2025,Pharco,Zamalek,11.02.2025 | Pharco | Zamalek | 0 | 1
Round 12,08.02.2025,National Bank Egypt,ZED,08.02.2025 | National Bank Egypt | ZED | 1 | 1
Round 12,08.02.2025,Al Ittihad,Al Masry,08.02.2025 | Al Ittihad | Al Masry | 1 | 2
