round,date,team_home,team_away,full_text
Round 27,03.03.2025,Akwa United,Katsina Utd,03.03.2025 | Akwa United | Katsina Utd | 1 | 0
Round 27,03.03.2025,El Kanemi,Lobi Stars,03.03.2025 | El Kanemi | Lobi Stars | 1 | 0
Round 27,02.03.2025,Ikorodu City,Heartland,02.03.2025 | Ikorodu City | Heartland | 2 | 0
Round 27,02.03.2025,Remo Stars,Plateau United,02.03.2025 | Remo Stars | Plateau United | 1 | 0
Round 27,02.03.2025,Bayelsa United,Bendel,02.03.2025 | Bayelsa United | Bendel | 2 | 1
Round 27,02.03.2025,Kano Pillars,Rangers Int'l,02.03.2025 | Kano Pillars | Rangers Int'l | 2 | 1
Round 27,02.03.2025,Niger Tornadoes,Enyimba,02.03.2025 | Niger Tornadoes | Enyimba | 0 | 1
Round 27,02.03.2025,Abia Warriors,Nasarawa,02.03.2025 | Abia Warriors | Nasarawa | 1 | 1
Round 27,01.03.2025,Sunshine Stars,Kwara,01.03.2025 | Sunshine Stars | Kwara | 4 | 2
Round 26,28.02.2025,Rivers United,Katsina Utd,28.02.2025 | Rivers United | Katsina Utd | 1 | 0
Round 26,27.02.2025,Bendel,Ikorodu City,27.02.2025 | Bendel | Ikorodu City | 2 | 1
Round 26,26.02.2025,Heartland,El Kanemi,26.02.2025 | Heartland | El Kanemi | 0 | 0
Round 26,26.02.2025,Kano Pillars,Akwa United,26.02.2025 | Kano Pillars | Akwa United | 1 | 0
Round 26,26.02.2025,Kwara,Abia Warriors,26.02.2025 | Kwara | Abia Warriors | 0 | 0
Round 26,26.02.2025,Lobi Stars,Niger Tornadoes,26.02.2025 | Lobi Stars | Niger Tornadoes | 0 | 2
Round 26,26.02.2025,Nasarawa,Remo Stars,26.02.2025 | Nasarawa | Remo Stars | 1 | 0
Round 26,26.02.2025,Plateau United,Bayelsa United,26.02.2025 | Plateau United | Bayelsa United | 1 | 0
Round 26,26.02.2025,Rangers Int'l,Sunshine Stars,26.02.2025 | Rangers Int'l | Sunshine Stars | 3 | 0
Round 26,26.02.2025,Enyimba,Shooting,26.02.2025 | Enyimba | Shooting | 1 | 1
Round 25,20.02.2025,Remo Stars,Kwara,20.02.2025 | Remo Stars | Kwara | 2 | 0
Round 25,20.02.2025,Katsina Utd,Enyimba,20.02.2025 | Katsina Utd | Enyimba | 2 | 1
Round 25,19.02.2025,Ikorodu City,Plateau United,19.02.2025 | Ikorodu City | Plateau United | 2 | 1
Round 25,19.02.2025,Shooting,Lobi Stars,19.02.2025 | Shooting | Lobi Stars | 2 | 2
Round 25,19.02.2025,Abia Warriors,Rangers Int'l,19.02.2025 | Abia Warriors | Rangers Int'l | 1 | 0
Round 25,19.02.2025,Akwa United,Rivers United,19.02.2025 | Akwa United | Rivers United | 1 | 1
Round 25,19.02.2025,Bayelsa United,Nasarawa,19.02.2025 | Bayelsa United | Nasarawa | 2 | 2
Round 25,19.02.2025,Niger Tornadoes,Heartland,19.02.2025 | Niger Tornadoes | Heartland | 2 | 1
