round,date,team_home,team_away,full_text
Round 17,07.03.2025,Oslo Football Academy,Wally Daan,07.03.2025 | Oslo Football Academy | Wally Daan | 0 | 1
Round 16,02.03.2025,ASC HLM,Teungueth,02.03.2025 | ASC HLM | Teungueth | 0 | 2
Round 16,02.03.2025,Sonacos,Casa,02.03.2025 | Sonacos | Casa | 1 | 0
Round 16,02.03.2025,Generation F.,Jaraaf,02.03.2025 | Generation F. | Jaraaf | 0 | 0
Round 16,02.03.2025,Oslo Football Academy,US Goree,02.03.2025 | Oslo Football Academy | US Goree | 1 | 1
Round 16,02.03.2025,Ouakam,Guediawaye,02.03.2025 | Ouakam | Guediawaye | 3 | 1
Round 16,02.03.2025,Pikine,Dakar SC,02.03.2025 | Pikine | Dakar SC | 1 | 0
Round 16,01.03.2025,Wally Daan,AJEL,01.03.2025 | Wally Daan | AJEL | 0 | 1
Round 16,01.03.2025,Jamono Fatick,Linguere,01.03.2025 | Jamono Fatick | Linguere | 1 | 2
Round 15,27.02.2025,US Goree,Guediawaye,27.02.2025 | US Goree | Guediawaye | 0 | 1
Round 15,23.02.2025,AJEL,Oslo Football Academy,23.02.2025 | AJEL | Oslo Football Academy | 2 | 1
Round 12,23.02.2025,Guediawaye,Jaraaf,23.02.2025 | Guediawaye | Jaraaf | 0 | 0
Round 15,17.02.2025,Dakar SC,Jamono Fatick,17.02.2025 | Dakar SC | Jamono Fatick | 1 | 2
Round 15,17.02.2025,Jaraaf,ASC HLM,17.02.2025 | Jaraaf | ASC HLM | 1 | 2
Round 15,16.02.2025,Casa,Ouakam,16.02.2025 | Casa | Ouakam | 0 | 0
Round 15,15.02.2025,Linguere,Wally Daan,15.02.2025 | Linguere | Wally Daan | 0 | 1
Round 15,15.02.2025,Pikine,Generation F.,15.02.2025 | Pikine | Generation F. | 2 | 0 | 1
Round 15,15.02.2025,Teungueth,Sonacos,15.02.2025 | Teungueth | Sonacos | 1 | 1
Round 14,10.02.2025,ASC HLM,Pikine,10.02.2025 | ASC HLM | Pikine | 1 | 1
Round 14,09.02.2025,Sonacos,Jaraaf,09.02.2025 | Sonacos | Jaraaf | 1 | 0
Round 14,09.02.2025,AJEL,US Goree,09.02.2025 | AJEL | US Goree | 1 | 0
Round 14,09.02.2025,Ouakam,Teungueth,09.02.2025 | Ouakam | Teungueth | 1 | 0
Round 14,08.02.2025,Guediawaye,Casa,08.02.2025 | Guediawaye | Casa | 2 | 3
Round 14,08.02.2025,Jamono Fatick,Generation F.,08.02.2025 | Jamono Fatick | Generation F. | 1 | 1
Round 14,08.02.2025,Oslo Football Academy,Linguere,08.02.2025 | Oslo Football Academy | Linguere | 0 | 1
Round 14,07.02.2025,Wally Daan,Dakar SC,07.02.2025 | Wally Daan | Dakar SC | 2 | 0
Round 13,03.02.2025,Jaraaf,Ouakam,03.02.2025 | Jaraaf | Ouakam | 1 | 0
Round 13,03.02.2025,Linguere,AJEL,03.02.2025 | Linguere | AJEL | 2 | 1
Round 13,02.02.2025,Jamono Fatick,ASC HLM,02.02.2025 | Jamono Fatick | ASC HLM | 0 | 0
Round 13,02.02.2025,Pikine,Sonacos,02.02.2025 | Pikine | Sonacos | 1 | 0
Round 13,02.02.2025,Teungueth,Guediawaye,02.02.2025 | Teungueth | Guediawaye | 1 | 1
Round 13,01.02.2025,Generation F.,Wally Daan,01.02.2025 | Generation F. | Wally Daan | 1 | 0
Round 13,01.02.2025,US Goree,Casa,01.02.2025 | US Goree | Casa | 0 | 0
Round 13,01.02.2025,Dakar SC,Oslo Football Academy,01.02.2025 | Dakar SC | Oslo Football Academy | 3 | 0
Round 11,29.01.2025,Jaraaf,Casa,29.01.2025 | Jaraaf | Casa | 1 | 0
Round 11,26.01.2025,Pikine,Guediawaye,26.01.2025 | Pikine | Guediawaye | 0 | 1
Round 10,25.01.2025,Teungueth,Jaraaf,25.01.2025 | Teungueth | Jaraaf | 2 | 3
Round 12,21.01.2025,Wally Daan,ASC HLM,21.01.2025 | Wally Daan | ASC HLM | 1 | 1
Round 12,21.01.2025,Ouakam,Pikine,21.01.2025 | Ouakam | Pikine | 1 | 0
Round 12,20.01.2025,Linguere,US Goree,20.01.2025 | Linguere | US Goree | 0 | 0
Round 12,20.01.2025,Oslo Football Academy,Generation F.,20.01.2025 | Oslo Football Academy | Generation F. | 2 | 2
