round,date,team_home,team_away,full_text
7,06.10.2024,Ross County,Celtic,06.10.2024 | Ross County | Celtic | 1 | 2
7,05.10.2024,Dundee FC,Kilmarnock,05.10.2024 | Dundee FC | Kilmarnock | 2 | 3
7,05.10.2024,Hibernian,Motherwell,05.10.2024 | Hibernian | Motherwell | 1 | 2
7,05.10.2024,St. Mirren,Dundee Utd,05.10.2024 | St. Mirren | Dundee Utd | 0 | 1
6,29.09.2024,Rangers,Hibernian,29.09.2024 | Rangers | Hibernian | 1 | 0
6,28.09.2024,St Johnstone,Celtic,28.09.2024 | St Johnstone | Celtic | 0 | 6
6,28.09.2024,Dundee FC,Aberdeen,28.09.2024 | Dundee FC | Aberdeen | 1 | 2
6,28.09.2024,Hearts,Ross County,28.09.2024 | Hearts | Ross County | 1 | 1
6,28.09.2024,Kilmarnock,Dundee Utd,28.09.2024 | Kilmarnock | Dundee Utd | 3 | 3
6,28.09.2024,Motherwell,St. Mirren,28.09.2024 | Motherwell | St. Mirren | 2 | 1
15,21.09.2024,Ross County,St Johnstone,21.09.2024 | Ross County | St Johnstone | 3 | 3
15,21.09.2024,St. Mirren,Hearts,21.09.2024 | St. Mirren | Hearts | 2 | 1
5,15.09.2024,Dundee Utd,Rangers,15.09.2024 | Dundee Utd | Rangers | 0 | 1
5,14.09.2024,Aberdeen,Motherwell,14.09.2024 | Aberdeen | Motherwell | 2 | 1
5,14.09.2024,Celtic,Hearts,14.09.2024 | Celtic | Hearts | 2 | 0
5,14.09.2024,Hibernian,St Johnstone,14.09.2024 | Hibernian | St Johnstone | 2 | 0
5,14.09.2024,Ross County,Dundee FC,14.09.2024 | Ross County | Dundee FC | 2 | 0
5,14.09.2024,St. Mirren,Kilmarnock,14.09.2024 | St. Mirren | Kilmarnock | 2 | 2
4,01.09.2024,Hearts,Dundee Utd,01.09.2024 | Hearts | Dundee Utd | 0 | 1
4,01.09.2024,Kilmarnock,Hibernian,01.09.2024 | Kilmarnock | Hibernian | 1 | 1
4,01.09.2024,Celtic,Rangers,01.09.2024 | Celtic | Rangers | 3 | 0
4,31.08.2024,Ross County,Aberdeen,31.08.2024 | Ross County | Aberdeen | 0 | 1
4,31.08.2024,Dundee FC,St. Mirren,31.08.2024 | Dundee FC | St. Mirren | 2 | 2
4,31.08.2024,St Johnstone,Motherwell,31.08.2024 | St Johnstone | Motherwell | 1 | 2
3,25.08.2024,Aberdeen,Kilmarnock,25.08.2024 | Aberdeen | Kilmarnock | 2 | 0
3,25.08.2024,Motherwell,Hearts,25.08.2024 | Motherwell | Hearts | 3 | 1
3,25.08.2024,St. Mirren,Celtic,25.08.2024 | St. Mirren | Celtic | 0 | 3
3,24.08.2024,Dundee Utd,St Johnstone,24.08.2024 | Dundee Utd | St Johnstone | 2 | 0
3,24.08.2024,Hibernian,Dundee FC,24.08.2024 | Hibernian | Dundee FC | 2 | 2
3,24.08.2024,Rangers,Ross County,24.08.2024 | Rangers | Ross County | 6 | 0
2,11.08.2024,Aberdeen,St. Mirren,11.08.2024 | Aberdeen | St. Mirren | 3 | 1
2,11.08.2024,Kilmarnock,St Johnstone,11.08.2024 | Kilmarnock | St Johnstone | 0 | 3
2,11.08.2024,Hibernian,Celtic,11.08.2024 | Hibernian | Celtic | 0 | 2
2,10.08.2024,Dundee FC,Hearts,10.08.2024 | Dundee FC | Hearts | 3 | 1
2,10.08.2024,Rangers,Motherwell,10.08.2024 | Rangers | Motherwell | 2 | 1
2,10.08.2024,Ross County,Dundee Utd,10.08.2024 | Ross County | Dundee Utd | 1 | 1
1,05.08.2024,St Johnstone,Aberdeen,05.08.2024 | St Johnstone | Aberdeen | 1 | 2
1,04.08.2024,Celtic,Kilmarnock,04.08.2024 | Celtic | Kilmarnock | 4 | 0
1,04.08.2024,St. Mirren,Hibernian,04.08.2024 | St. Mirren | Hibernian | 3 | 0
1,04.08.2024,Dundee Utd,Dundee FC,04.08.2024 | Dundee Utd | Dundee FC | 2 | 2
1,03.08.2024,Motherwell,Ross County,03.08.2024 | Motherwell | Ross County | 0 | 0
1,03.08.2024,Hearts,Rangers,03.08.2024 | Hearts | Rangers | 0 | 0
