round,date,team_home,team_away,full_text
6,2024-09-01,Trnava,Ruzomberok,01.09.2024 | Trnava | Ruzomberok | 2 | 2
6,2024-09-01,Slovan Bratislava,Zilina,01.09.2024 | Slovan Bratislava | Zilina | 0 | 5
6,2024-08-31,Podbrezova,Banska Bystrica,31.08.2024 | Podbrezova | Banska Bystrica | 1 | 1
6,2024-08-31,Komarno,Michalovce,31.08.2024 | Komarno | Michalovce | 1 | 3
6,2024-08-31,Skalica,Kosice,31.08.2024 | Skalica | Kosice | 0 | 0
5,2024-08-25,Banska Bystrica,Slovan Bratislava,25.08.2024 | Banska Bystrica | Slovan Bratislava | 0 | 2
5,2024-08-25,Ruzomberok,Michalovce,25.08.2024 | Ruzomberok | Michalovce | 2 | 2
5,2024-08-24,Zilina,Trencin,24.08.2024 | Zilina | Trencin | 4 | 1
5,2024-08-24,Kosice,Komarno,24.08.2024 | Kosice | Komarno | 0 | 1
5,2024-08-24,Skalica,Trnava,24.08.2024 | Skalica | Trnava | 1 | 2
4,2024-08-18,Trnava,Zilina,18.08.2024 | Trnava | Zilina | 0 | 0
4,2024-08-17,Trencin,Banska Bystrica,17.08.2024 | Trencin | Banska Bystrica | 2 | 2
4,2024-08-17,Michalovce,Dun. Streda,17.08.2024 | Michalovce | Dun. Streda | 0 | 3
4,2024-08-17,Podbrezova,Skalica,17.08.2024 | Podbrezova | Skalica | 7 | 1
4,2024-08-17,Slovan Bratislava,Kosice,17.08.2024 | Slovan Bratislava | Kosice | 2 | 1
3,2024-08-11,Banska Bystrica,Dun. Streda,11.08.2024 | Banska Bystrica | Dun. Streda | 1 | 0
3,2024-08-11,Ruzomberok,Trencin,11.08.2024 | Ruzomberok | Trencin | 1 | 0
3,2024-08-10,Kosice,Podbrezova,10.08.2024 | Kosice | Podbrezova | 3 | 0
3,2024-08-10,Zilina,Michalovce,10.08.2024 | Zilina | Michalovce | 3 | 1
2,2024-08-04,Dun. Streda,Komarno,04.08.2024 | Dun. Streda | Komarno | 2 | 0
2,2024-08-04,Michalovce,Trnava,04.08.2024 | Michalovce | Trnava | 0 | 0
2,2024-08-03,Slovan Bratislava,Podbrezova,03.08.2024 | Slovan Bratislava | Podbrezova | 1 | 0
2,2024-08-03,Trencin,Kosice,03.08.2024 | Trencin | Kosice | 2 | 0
2,2024-08-03,Banska Bystrica,Skalica,03.08.2024 | Banska Bystrica | Skalica | 1 | 1
1,2024-07-28,Kosice,Dun. Streda,28.07.2024 | Kosice | Dun. Streda | 2 | 2
1,2024-07-28,Ruzomberok,Banska Bystrica,28.07.2024 | Ruzomberok | Banska Bystrica | 1 | 1
1,2024-07-28,Trnava,Trencin,28.07.2024 | Trnava | Trencin | 0 | 0
1,2024-07-27,Komarno,Slovan Bratislava,27.07.2024 | Komarno | Slovan Bratislava | 1 | 4
1,2024-07-27,Podbrezova,Zilina,27.07.2024 | Podbrezova | Zilina | 0 | 0
1,2024-07-27,Skalica,Michalovce,27.07.2024 | Skalica | Michalovce | 0 | 0
