round,date,team_home,team_away,full_text
20,31.08.2025,Viking,Rosenborg,31.08.2025 | Viking | Rosenborg | 2 | 1
20,31.08.2025,Kristiansund,Brann,31.08.2025 | Kristiansund | Brann | 2 | 2
20,30.08.2025,Valerenga,Bryne,30.08.2025 | Valerenga | Bryne | 3 | 2
19,25.08.2025,Sarpsborg 08,Kristiansund,25.08.2025 | Sarpsborg 08 | Kristiansund | 0 | 1
19,24.08.2025,Molde,Tromso,24.08.2025 | Molde | Tromso | 2 | 0
19,24.08.2025,Bryne,Stromsgodset,24.08.2025 | Bryne | Stromsgodset | 2 | 2
19,24.08.2025,Haugesund,Valerenga,24.08.2025 | Haugesund | Valerenga | 2 | 3
19,22.08.2025,KFUM Oslo,HamKam,22.08.2025 | KFUM Oslo | HamKam | 2 | 2
18,17.08.2025,Valerenga,Sarpsborg 08,17.08.2025 | Valerenga | Sarpsborg 08 | 4 | 0
18,17.08.2025,HamKam,Bryne,17.08.2025 | HamKam | Bryne | 1 | 0
18,17.08.2025,KFUM Oslo,Molde,17.08.2025 | KFUM Oslo | Molde | 0 | 0
18,17.08.2025,Kristiansund,Sandefjord,17.08.2025 | Kristiansund | Sandefjord | 2 | 2
18,17.08.2025,Tromso,Brann,17.08.2025 | Tromso | Brann | 1 | 2
18,15.08.2025,Stromsgodset,Bodo/Glimt,15.08.2025 | Stromsgodset | Bodo/Glimt | 0 | 5
17,10.08.2025,Sandefjord,Viking,10.08.2025 | Sandefjord | Viking | 1 | 2
17,10.08.2025,Bryne,KFUM Oslo,10.08.2025 | Bryne | KFUM Oslo | 0 | 0
17,10.08.2025,Haugesund,Sarpsborg 08,10.08.2025 | Haugesund | Sarpsborg 08 | 3 | 2
17,09.08.2025,Bodo/Glimt,Tromso,09.08.2025 | Bodo/Glimt | Tromso | 1 | 1
17,09.08.2025,Molde,HamKam,09.08.2025 | Molde | HamKam | 1 | 0
16,03.08.2025,KFUM Oslo,Rosenborg,03.08.2025 | KFUM Oslo | Rosenborg | 4 | 1
16,03.08.2025,Molde,Bryne,03.08.2025 | Molde | Bryne | 2 | 0
16,03.08.2025,Stromsgodset,Haugesund,03.08.2025 | Stromsgodset | Haugesund | 2 | 0
16,03.08.2025,Valerenga,Sandefjord,03.08.2025 | Valerenga | Sandefjord | 2 | 1
16,03.08.2025,HamKam,Bodo/Glimt,03.08.2025 | HamKam | Bodo/Glimt | 1 | 3
16,02.08.2025,Sarpsborg 08,Brann,02.08.2025 | Sarpsborg 08 | Brann | 1 | 4
16,02.08.2025,Tromso,Fredrikstad,02.08.2025 | Tromso | Fredrikstad | 0 | 0
6,30.07.2025,Bodo/Glimt,Stromsgodset,30.07.2025 | Bodo/Glimt | Stromsgodset | 1 | 0
15,27.07.2025,Bryne,Viking,27.07.2025 | Bryne | Viking | 1 | 3
15,27.07.2025,Rosenborg,Tromso,27.07.2025 | Rosenborg | Tromso | 4 | 1
15,26.07.2025,Bodo/Glimt,Valerenga,26.07.2025 | Bodo/Glimt | Valerenga | 7 | 2
15,26.07.2025,Haugesund,HamKam,26.07.2025 | Haugesund | HamKam | 0 | 3
15,26.07.2025,Kristiansund,KFUM Oslo,26.07.2025 | Kristiansund | KFUM Oslo | 0 | 5
15,26.07.2025,Sandefjord,Sarpsborg 08,26.07.2025 | Sandefjord | Sarpsborg 08 | 3 | 2
15,25.07.2025,Fredrikstad,Stromsgodset,25.07.2025 | Fredrikstad | Stromsgodset | 3 | 2
14,20.07.2025,HamKam,Fredrikstad,20.07.2025 | HamKam | Fredrikstad | 1 | 1
14,20.07.2025,Sandefjord,Kristiansund,20.07.2025 | Sandefjord | Kristiansund | 6 | 0
