round,date,team_home,team_away,full_text
20,22.02.2025,Stella Adjame,Lys Sassandra,22.02.2025 | Stella Adjame | Lys Sassandra | 0 | 0
19,20.02.2025,Racing d'Abidjan,ISCA,20.02.2025 | Racing d'Abidjan | ISCA | 0 | 1
19,19.02.2025,Mouna,San Pedro,19.02.2025 | Mouna | San Pedro | 2 | 1
19,19.02.2025,ASEC Mimosas,Stella Adjame,19.02.2025 | ASEC Mimosas | Stella Adjame | 1 | 0
19,19.02.2025,Bouake,Lys Sassandra,19.02.2025 | Bouake | Lys Sassandra | 2 | 0
19,19.02.2025,Korhogo,Academie de FAD,19.02.2025 | Korhogo | Academie de FAD | 0 | 1
19,19.02.2025,SO Armee,Stade d'Abidjan,19.02.2025 | SO Armee | Stade d'Abidjan | 0 | 2
19,19.02.2025,Zoman,SOL,19.02.2025 | Zoman | SOL | 1 | 1
18,16.02.2025,SOL,ISCA,16.02.2025 | ISCA | SOL | 0 | 0
18,16.02.2025,Korhogo,AS Denguele,16.02.2025 | Korhogo | AS Denguele | 3 | 1
18,16.02.2025,Stella Adjame,Zoman,16.02.2025 | Stella Adjame | Zoman | 0 | 1
18,15.02.2025,Stade d'Abidjan,Racing d'Abidjan,15.02.2025 | Stade d'Abidjan | Racing d'Abidjan | 1 | 2
18,15.02.2025,Academie de FAD,Mouna,15.02.2025 | Academie de FAD | Mouna | 0 | 1
18,15.02.2025,Bouake,SO Armee,15.02.2025 | Bouake | SO Armee | 1 | 3
18,15.02.2025,Lys Sassandra,San Pedro,15.02.2025 | Lys Sassandra | San Pedro | 1 | 2
18,15.02.2025,Olympique Sport,ASEC Mimosas,15.02.2025 | Olympique Sport | ASEC Mimosas | 0 | 5
17,09.02.2025,Zoman,Olympique Sport,09.02.2025 | Zoman | Olympique Sport | 1 | 1
17,09.02.2025,AS Denguele,Bouake,09.02.2025 | AS Denguele | Bouake | 0 | 0
17,09.02.2025,ASEC Mimosas,Academie de FAD,09.02.2025 | ASEC Mimosas | Academie de FAD | 1 | 2
17,09.02.2025,ISCA,Stade d'Abidjan,09.02.2025 | ISCA | Stade d'Abidjan | 0 | 3
17,09.02.2025,San Pedro,Korhogo,09.02.2025 | San Pedro | Korhogo | 1 | 3
17,08.02.2025,Racing d'Abidjan,Stella Adjame,08.02.2025 | Racing d'Abidjan | Stella Adjame | 3 | 0
17,08.02.2025,Mouna,SO Armee,08.02.2025 | Mouna | SO Armee | 0 | 1
17,08.02.2025,SOL,Lys Sassandra,08.02.2025 | SOL | Lys Sassandra | 1 | 0
16,02.02.2025,Stella Adjame,SOL,02.02.2025 | Stella Adjame | SOL | 1 | 1
16,02.02.2025,Academie de FAD,Racing d'Abidjan,02.02.2025 | Academie de FAD | Racing d'Abidjan | 0 | 1
16,02.02.2025,Korhogo,ASEC Mimosas,02.02.2025 | Korhogo | ASEC Mimosas | 1 | 1
16,02.02.2025,Lys Sassandra,Zoman,02.02.2025 | Lys Sassandra | Zoman | 1 | 1
