round,date,team_home,team_away,full_text
4,09.08.2024,Midtjylland,Vejle,09.08.2024 | Midtjylland | Vejle | 2 | 0
3,05.08.2024,Vejle,Nordsjaelland,05.08.2024 | Vejle | Nordsjaelland | 0 | 1
3,04.08.2024,Lyngby,Brondby,04.08.2024 | Lyngby | Brondby | 0 | 2
3,04.08.2024,FC Copenhagen,Randers FC,04.08.2024 | FC Copenhagen | Randers FC | 1 | 1
3,04.08.2024,Silkeborg,Viborg,04.08.2024 | Silkeborg | Viborg | 3 | 2
3,03.08.2024,Midtjylland,Aalborg,03.08.2024 | Midtjylland | Aalborg | 2 | 0
3,02.08.2024,Aarhus,Sonderjyske,02.08.2024 | Aarhus | Sonderjyske | 4 | 0
2,29.07.2024,Brondby,Vejle,29.07.2024 | Brondby | Vejle | 2 | 1
2,28.07.2024,FC Copenhagen,Aarhus,28.07.2024 | FC Copenhagen | Aarhus | 3 | 2
2,28.07.2024,Aalborg,Silkeborg,28.07.2024 | Aalborg | Silkeborg | 2 | 1
2,28.07.2024,Randers FC,Viborg,28.07.2024 | Randers FC | Viborg | 3 | 1
2,27.07.2024,Nordsjaelland,Midtjylland,27.07.2024 | Nordsjaelland | Midtjylland | 2 | 2
2,26.07.2024,Sonderjyske,Lyngby,26.07.2024 | Sonderjyske | Lyngby | 1 | 1
1,22.07.2024,Lyngby,FC Copenhagen,22.07.2024 | Lyngby | FC Copenhagen | 0 | 2
1,21.07.2024,Viborg,Brondby,21.07.2024 | Viborg | Brondby | 3 | 3
1,21.07.2024,Vejle,Randers FC,21.07.2024 | Vejle | Randers FC | 2 | 3
1,21.07.2024,Silkeborg,Sonderjyske,21.07.2024 | Silkeborg | Sonderjyske | 1 | 0
1,19.07.2024,Nordsjaelland,Aalborg,19.07.2024 | Nordsjaelland | Aalborg | 3 | 0
1,19.07.2024,Aarhus,Midtjylland,19.07.2024 | Aarhus | Midtjylland | 1 | 1
