round,date,team_home,team_away,full_text
8,12.04.2025,Seoul,Daejeon,12.04.2025 | Seoul | Daejeon | 2 | 2
8,12.04.2025,Suwon FC,Gimcheon Sangmu,12.04.2025 | Suwon FC | Gimcheon Sangmu | 3 | 2
10,09.04.2025,Gwangju FC,Daegu,09.04.2025 | Gwangju FC | Daegu | 2 | 1
7,06.04.2025,Anyang,Gangwon,06.04.2025 | Anyang | Gangwon | 2 | 0
7,06.04.2025,Gwangju FC,Jeju SK,06.04.2025 | Gwangju FC | Jeju SK | 1 | 0
7,05.04.2025,Suwon FC,Pohang,05.04.2025 | Suwon FC | Pohang | 1 | 1
7,05.04.2025,Daejeon,Jeonbuk,05.04.2025 | Daejeon | Jeonbuk | 0 | 2
7,05.04.2025,Gimcheon Sangmu,Daegu,05.04.2025 | Gimcheon Sangmu | Daegu | 2 | 0
7,05.04.2025,Ulsan HD,Seoul,05.04.2025 | Ulsan HD | Seoul | 0 | 0
18,01.04.2025,Ulsan HD,Daejeon,01.04.2025 | Ulsan HD | Daejeon | 2 | 3
6,30.03.2025,Anyang,Jeonbuk,30.03.2025 | Anyang | Jeonbuk | 0 | 1
6,30.03.2025,Gimcheon Sangmu,Gangwon,30.03.2025 | Gimcheon Sangmu | Gangwon | 1 | 0
6,30.03.2025,Jeju SK,Suwon FC,30.03.2025 | Jeju SK | Suwon FC | 1 | 0
6,29.03.2025,Daejeon,Gwangju FC,29.03.2025 | Daejeon | Gwangju FC | 1 | 1
6,29.03.2025,Pohang,Ulsan HD,29.03.2025 | Pohang | Ulsan HD | 1 | 0
6,29.03.2025,Seoul,Daegu,29.03.2025 | Seoul | Daegu | 3 | 2
4,22.03.2025,Gwangju FC,Pohang,22.03.2025 | Gwangju FC | Pohang | 2 | 3
5,16.03.2025,Gimcheon Sangmu,Gwangju FC,16.03.2025 | Gimcheon Sangmu | Gwangju FC | 0 | 0
5,16.03.2025,Jeonbuk,Pohang,16.03.2025 | Jeonbuk | Pohang | 2 | 2
