round,date,team_home,team_away,full_text
19,10.08.2025,Norrkoping,Hammarby,10.08.2025 | Norrkoping | Hammarby | 0 | 2
19,10.08.2025,Oster,Brommapojkarna,10.08.2025 | Oster | Brommapojkarna | 1 | 1
19,10.08.2025,AIK,Djurgarden,10.08.2025 | AIK | Djurgarden | 0 | 0
19,10.08.2025,Degerfors,Hacken,10.08.2025 | Degerfors | Hacken | 0 | 0
19,09.08.2025,Halmstad,Sirius,09.08.2025 | Halmstad | Sirius | 0 | 1
19,09.08.2025,Malmo FF,Mjallby,09.08.2025 | Malmo FF | Mjallby | 1 | 3
18,04.08.2025,Goteborg,Degerfors,04.08.2025 | Goteborg | Degerfors | 3 | 0
18,03.08.2025,Sirius,Oster,03.08.2025 | Sirius | Oster | 1 | 1
18,03.08.2025,Djurgarden,Halmstad,03.08.2025 | Djurgarden | Halmstad | 1 | 1
18,03.08.2025,Hacken,Elfsborg,03.08.2025 | Hacken | Elfsborg | 1 | 2
18,02.08.2025,Varnamo,GAIS,02.08.2025 | Varnamo | GAIS | 2 | 2
18,02.08.2025,Brommapojkarna,Norrkoping,02.08.2025 | Brommapojkarna | Norrkoping | 6 | 4
17,28.07.2025,Elfsborg,Goteborg,28.07.2025 | Elfsborg | Goteborg | 4 | 3
17,27.07.2025,Mjallby,Sirius,27.07.2025 | Mjallby | Sirius | 2 | 1
17,27.07.2025,Varnamo,Hammarby,27.07.2025 | Varnamo | Hammarby | 2 | 3
17,27.07.2025,AIK,Oster,27.07.2025 | AIK | Oster | 0 | 0
17,27.07.2025,Hacken,Djurgarden,27.07.2025 | Hacken | 2 | Djurgarden | 1 | 6
17,26.07.2025,Degerfors,Norrkoping,26.07.2025 | Degerfors | Norrkoping | 0 | 0
17,26.07.2025,Brommapojkarna,Malmo FF,26.07.2025 | Brommapojkarna | Malmo FF | 2 | 3
17,26.07.2025,GAIS,Halmstad,26.07.2025 | GAIS | Halmstad | 3 | 0
16,21.07.2025,Norrkoping,Varnamo,21.07.2025 | Norrkoping | Varnamo | 3 | 1
16,20.07.2025,Halmstad,Hacken,20.07.2025 | Halmstad | Hacken | 0 | 0
16,20.07.2025,Hammarby,Brommapojkarna,20.07.2025 | Hammarby | Brommapojkarna | 3 | 2
16,20.07.2025,Mjallby,AIK,20.07.2025 | Mjallby | AIK | 2 | 0
16,20.07.2025,Sirius,Goteborg,20.07.2025 | Sirius | Goteborg | 0 | 1
16,19.07.2025,Degerfors,GAIS,19.07.2025 | Degerfors | GAIS | 0 | 3
16,19.07.2025,Djurgarden,Elfsborg,19.07.2025 | Djurgarden | Elfsborg | 1 | 0
16,19.07.2025,Oster,Malmo FF,19.07.2025 | Oster | Malmo FF | 0 | 2
15,14.07.2025,Sirius,Mjallby,14.07.2025 | Sirius | Mjallby | 1 | 2
15,13.07.2025,Hacken,Halmstad,13.07.2025 | Hacken | Halmstad | 4 | 1
15,13.07.2025,AIK,Degerfors,13.07.2025 | AIK | Degerfors | 3 | 0
15,13.07.2025,Varnamo,Djurgarden,13.07.2025 | Varnamo | Djurgarden | 1 | 0
15,13.07.2025,Brommapojkarna,Oster,13.07.2025 | Brommapojkarna | Oster | 2 | 0
15,13.07.2025,GAIS,Hammarby,13.07.2025 | GAIS | Hammarby | 3 | 2
15,12.07.2025,Malmo FF,Norrkoping,12.07.2025 | Malmo FF | Norrkoping | 3 | 1
15,12.07.2025,Goteborg,Elfsborg,12.07.2025 | Goteborg | Elfsborg | 1 | 2
14,07.07.2025,Norrkoping,Brommapojkarna,07.07.2025 | Norrkoping | Brommapojkarna | 0 | 1
14,06.07.2025,Djurgarden,Degerfors,06.07.2025 | Djurgarden | Degerfors | 5 | 1
14,06.07.2025,Elfsborg,Hacken,06.07.2025 | Elfsborg | Hacken | 0 | 2
14,06.07.2025,Goteborg,Sirius,06.07.2025 | Goteborg | Sirius | 3 | 1
14,06.07.2025,Halmstad,AIK,06.07.2025 | Halmstad | AIK | 2 | 0
14,05.07.2025,Hammarby,Varnamo,05.07.2025 | Hammarby | Varnamo | 1 | 0
14,05.07.2025,GAIS,Malmo FF,05.07.2025 | GAIS | Malmo FF | 0 | 0
14,05.07.2025,Oster,Mjallby,05.07.2025 | Oster | Mjallby | 0 | 1
13,30.06.2025,Djurgarden,Norrkoping,30.06.2025 | Djurgarden | Norrkoping | 1 | 1
13,30.06.2025,Mjallby,Malmo FF,30.06.2025 | Mjallby | Malmo FF | 1 | 1
13,29.06.2025,Hacken,GAIS,29.06.2025 | Hacken | GAIS | 1 | 3
