round,date,team_home,team_away,full_text
33,21.04.2025,Basel,Yverdon,21.04.2025 | Basel | Yverdon | 5 | 0
27,08.03.2025,Yverdon,Winterthur,08.03.2025 | Yverdon | Winterthur | 2 | 1
26,02.03.2025,Grasshoppers,Young Boys,02.03.2025 | Grasshoppers | Young Boys | 1 | 0
26,02.03.2025,Yverdon,Luzern,02.03.2025 | Yverdon | Luzern | 2 | 2
26,02.03.2025,Lugano,Zurich,02.03.2025 | Lugano | Zurich | 0 | 3
26,01.03.2025,Lausanne,Servette,01.03.2025 | Lausanne | Servette | 0 | 1
26,01.03.2025,Basel,Sion,01.03.2025 | Basel | Sion | 2 | 0
26,01.03.2025,Winterthur,St. Gallen,01.03.2025 | Winterthur | St. Gallen | 4 | 0
25,23.02.2025,Servette,Winterthur,23.02.2025 | Servette | Winterthur | 3 | 1
25,23.02.2025,Young Boys,Lugano,23.02.2025 | Young Boys | Lugano | 1 | 0
25,23.02.2025,Luzern,Sion,23.02.2025 | Luzern | Sion | 2 | 1
25,22.02.2025,St. Gallen,Basel,22.02.2025 | St. Gallen | Basel | 2 | 2
25,22.02.2025,Lausanne,Grasshoppers,22.02.2025 | Lausanne | Grasshoppers | 2 | 2
25,22.02.2025,Zurich,Yverdon,22.02.2025 | Zurich | Yverdon | 2 | 1
24,16.02.2025,Basel,Lausanne,16.02.2025 | Basel | Lausanne | 1 | 1
24,16.02.2025,Grasshoppers,Servette,16.02.2025 | Grasshoppers | Servette | 1 | 2
24,16.02.2025,Yverdon,St. Gallen,16.02.2025 | Yverdon | St. Gallen | 1 | 0
24,15.02.2025,Winterthur,Young Boys,15.02.2025 | Winterthur | Young Boys | 1 | 0
24,15.02.2025,Lugano,Luzern,15.02.2025 | Lugano | Luzern | 2 | 0
24,15.02.2025,Sion,Zurich,15.02.2025 | Sion | Zurich | 2 | 1
23,09.02.2025,Luzern,Winterthur,09.02.2025 | Luzern | Winterthur | 3 | 2
23,09.02.2025,Zurich,St. Gallen,09.02.2025 | Zurich | St. Gallen | 1 | 2
23,09.02.2025,Servette,Basel,09.02.2025 | Servette | Basel | 2 | 1
23,08.02.2025,Young Boys,Sion,08.02.2025 | Young Boys | Sion | 5 | 1
23,08.02.2025,Lausanne,Yverdon,08.02.2025 | Lausanne | Yverdon | 4 | 1
23,08.02.2025,Lugano,Grasshoppers,08.02.2025 | Lugano | Grasshoppers | 1 | 1
22,06.02.2025,Basel,Luzern,06.02.2025 | Basel | Luzern | 2 | 1
22,06.02.2025,Winterthur,Zurich,06.02.2025 | Winterthur | Zurich | 0 | 2
22,05.02.2025,St. Gallen,Lugano,05.02.2025 | St. Gallen | Lugano | 2 | 1
22,05.02.2025,Young Boys,Yverdon,05.02.2025 | Young Boys | Yverdon | 6 | 1
22,04.02.2025,Grasshoppers,Lausanne,04.02.2025 | Grasshoppers | Lausanne | 2 | 2
22,04.02.2025,Sion,Servette,04.02.2025 | Sion | Servette | 3 | 3
21,02.02.2025,Yverdon,Winterthur,02.02.2025 | Yverdon | Winterthur | 3 | 0
21,02.02.2025,Zurich,Basel,02.02.2025 | Zurich | Basel | 0 | 1
21,02.02.2025,Luzern,St. Gallen,02.02.2025 | Luzern | St. Gallen | 2 | 0
21,01.02.2025,Servette,Grasshoppers,01.02.2025 | Servette | Grasshoppers | 1 | 1
21,01.02.2025,Lausanne,Young Boys,01.02.2025 | Lausanne | Young Boys | 1 | 2
21,01.02.2025,Lugano,Sion,01.02.2025 | Lugano | Sion | 3 | 2
20,26.01.2025,Basel,Sion,26.01.2025 | Basel | Sion | 4 | 1
20,26.01.2025,Luzern,Zurich,26.01.2025 | Luzern | Zurich | 2 | 3 | 1
20,26.01.2025,St. Gallen,Lausanne,26.01.2025 | St. Gallen | Lausanne | 3 | 2
20,25.01.2025,Winterthur,Lugano,25.01.2025 | Winterthur | Lugano | 2 | 3
20,25.01.2025,Grasshoppers,Young Boys,25.01.2025 | Grasshoppers | Young Boys | 0 | 0
20,25.01.2025,Yverdon,Servette,25.01.2025 | Yverdon | Servette | 0 | 0
19,19.01.2025,Lausanne,Luzern,19.01.2025 | Lausanne | Luzern | 0 | 0
19,19.01.2025,Lugano,Basel,19.01.2025 | Lugano | Basel | 2 | 2
19,19.01.2025,Zurich,Yverdon,19.01.2025 | Zurich | Yverdon | 1 | 0
19,18.01.2025,Servette,St. Gallen,18.01.2025 | Servette | St. Gallen | 1 | 1
19,18.01.2025,Sion,Grasshoppers,18.01.2025 | Sion | Grasshoppers | 0 | 1
19,18.01.2025,Young Boys,Winterthur,18.01.2025 | Young Boys | Winterthur | 0 | 0
18,15.12.2024,Lugano,Lausanne,15.12.2024 | Lugano | Lausanne | 1 | 4
18,15.12.2024,Zurich,St. Gallen,15.12.2024 | Zurich | St. Gallen | 0 | 2
18,15.12.2024,Young Boys,Servette,15.12.2024 | Young Boys | Servette | 2 | 1
18,14.12.2024,Basel,Grasshoppers,14.12.2024 | Basel | Grasshoppers | 0 | 1
18,14.12.2024,Winterthur,Luzern,14.12.2024 | Winterthur | Luzern | 3 | 4
18,14.12.2024,Yverdon,Sion,14.12.2024 | Yverdon | Sion | 0 | 1
17,08.12.2024,Servette,Winterthur,08.12.2024 | Servette | Winterthur | 1 | 1
17,08.12.2024,St. Gallen,Basel,08.12.2024 | St. Gallen | Basel | 1 | 1
17,08.12.2024,Lausanne,Zurich,08.12.2024 | Lausanne | Zurich | 3 | 0
17,07.12.2024,Luzern,Lugano,07.12.2024 | Luzern | Lugano | 1 | 4
17,07.12.2024,Grasshoppers,Yverdon,07.12.2024 | Grasshoppers | Yverdon | 1 | 1
17,07.12.2024,Sion,Young Boys,07.12.2024 | Sion | Young Boys | 3 | 1
16,01.12.2024,Servette,Lugano,01.12.2024 | Servette | Lugano | 3 | 0
16,01.12.2024,Young Boys,St. Gallen,01.12.2024 | Young Boys | St. Gallen | 3 | 1
16,01.12.2024,Winterthur,Sion,01.12.2024 | Winterthur | Sion | 1 | 3
16,30.11.2024,Zurich,Grasshoppers,30.11.2024 | Zurich | Grasshoppers | 1 | 1
16,30.11.2024,Basel,Lausanne,30.11.2024 | Basel | Lausanne | 1 | 1
16,30.11.2024,Yverdon,Luzern,30.11.2024 | Yverdon | Luzern | 0 | 1
15,24.11.2024,Basel,Servette,24.11.2024 | Basel | Servette | 3 | 1
15,24.11.2024,St. Gallen,Yverdon,24.11.2024 | St. Gallen | Yverdon | 0 | 0
15,24.11.2024,Lugano,Zurich,24.11.2024 | Lugano | Zurich | 4 | 1
15,23.11.2024,Lausanne,Sion,23.11.2024 | Lausanne | Sion | 1 | 0
15,23.11.2024,Grasshoppers,Winterthur,23.11.2024 | Grasshoppers | Winterthur | 1 | 1
15,23.11.2024,Luzern,Young Boys,23.11.2024 | Luzern | Young Boys | 1 | 1
14,10.11.2024,Grasshoppers,St. Gallen,10.11.2024 | Grasshoppers | St. Gallen | 1 | 2
14,10.11.2024,Young Boys,Lugano,10.11.2024 | Young Boys | Lugano | 2 | 1
14,10.11.2024,Sion,Luzern,10.11.2024 | Sion | Luzern | 4 | 2
14,09.11.2024,Servette,Zurich,09.11.2024 | Servette | Zurich | 1 | 1
14,09.11.2024,Winterthur,Lausanne,09.11.2024 | Winterthur | Lausanne | 1 | 0
14,09.11.2024,Yverdon,Basel,09.11.2024 | Yverdon | Basel | 1 | 4
13,03.11.2024,Lugano,Yverdon,03.11.2024 | Lugano | Yverdon | 2 | 0
13,03.11.2024,Luzern,Grasshoppers,03.11.2024 | Luzern | Grasshoppers | 2 | 0
13,03.11.2024,Lausanne,Servette,03.11.2024 | Lausanne | Servette | 1 | 0
13,02.11.2024,St. Gallen,Sion,02.11.2024 | St. Gallen | Sion | 1 | 1
13,02.11.2024,Basel,Winterthur,02.11.2024 | Basel | Winterthur | 5 | 0
13,02.11.2024,Zurich,Young Boys,02.11.2024 | Zurich | Young Boys | 0 | 0
12,31.10.2024,Grasshoppers,Lugano,31.10.2024 | Grasshoppers | Lugano | 1 | 1
12,31.10.2024,Servette,Luzern,31.10.2024 | Servette | Luzern | 2 | 2
12,30.10.2024,Sion,Zurich,30.10.2024 | Sion | Zurich | 0 | 2
12,30.10.2024,St. Gallen,Winterthur,30.10.2024 | St. Gallen | Winterthur | 2 | 2
12,30.10.2024,Young Boys,Basel,30.10.2024 | Young Boys | Basel | 3 | 2
12,29.10.2024,Yverdon,Lausanne,29.10.2024 | Yverdon | Lausanne | 0 | 3
11,27.10.2024,Lugano,Young Boys,27.10.2024 | Lugano | Young Boys | 2 | 0
11,27.10.2024,Zurich,Servette,27.10.2024 | Zurich | Servette | 1 | 3
11,27.10.2024,Sion,St. Gallen,27.10.2024 | Sion | St. Gallen | 2 | 2
11,26.10.2024,Luzern,Yverdon,26.10.2024 | Luzern | Yverdon | 2 | 3
11,26.10.2024,Lausanne,Grasshoppers,26.10.2024 | Lausanne | Grasshoppers | 3 | 0
11,26.10.2024,Winterthur,Basel,26.10.2024 | Winterthur | Basel | 1 | 6
10,20.10.2024,Basel,St. Gallen,20.10.2024 | Basel | St. Gallen | 2 | 1
10,20.10.2024,Lausanne,Winterthur,20.10.2024 | Lausanne | Winterthur | 2 | 0
10,20.10.2024,Yverdon,Lugano,20.10.2024 | Yverdon | Lugano | 2 | 0
10,19.10.2024,Servette,Sion,19.10.2024 | Servette | Sion | 3 | 0
10,19.10.2024,Grasshoppers,Zurich,19.10.2024 | Grasshoppers | Zurich | 1 | 2
10,19.10.2024,Young Boys,Luzern,19.10.2024 | Young Boys | Luzern | 2 | 1
9,06.10.2024,Basel,Young Boys,06.10.2024 | Basel | Young Boys | 1 | 0
9,06.10.2024,St. Gallen,Servette,06.10.2024 | St. Gallen | Servette | 1 | 1
9,06.10.2024,Zurich,Lugano,06.10.2024 | Zurich | Lugano | 1 | 1
9,05.10.2024,Winterthur,Grasshoppers,05.10.2024 | Winterthur | Grasshoppers | 1 | 0
9,05.10.2024,Luzern,Lausanne,05.10.2024 | Luzern | Lausanne | 2 | 2
9,05.10.2024,Sion,Yverdon,05.10.2024 | Sion | Yverdon | 1 | 1
8,29.09.2024,Lugano,Winterthur,29.09.2024 | Lugano | Winterthur | 2 | 1
8,29.09.2024,Luzern,Basel,29.09.2024 | Luzern | Basel | 1 | 0
8,29.09.2024,Zurich,Sion,29.09.2024 | Zurich | Sion | 1 | 0
8,28.09.2024,Young Boys,Grasshoppers,28.09.2024 | Young Boys | Grasshoppers | 0 | 1
8,28.09.2024,Servette,Lausanne,28.09.2024 | Servette | Lausanne | 1 | 0
8,28.09.2024,Yverdon,St. Gallen,28.09.2024 | Yverdon | St. Gallen | 1 | 0
5,24.09.2024,St. Gallen,Zurich,24.09.2024 | St. Gallen | Zurich | 4 | 1
7,22.09.2024,Sion,Lugano,22.09.2024 | Sion | Lugano | 0 | 0
7,22.09.2024,Winterthur,Young Boys,22.09.2024 | Winterthur | Young Boys | 1 | 4
7,22.09.2024,Lausanne,Yverdon,22.09.2024 | Lausanne | Yverdon | 3 | 1
7,21.09.2024,Basel,Zurich,21.09.2024 | Basel | Zurich | 0 | 2
7,21.09.2024,Grasshoppers,Servette,21.09.2024 | Grasshoppers | Servette | 2 | 2
7,21.09.2024,St. Gallen,Luzern,21.09.2024 | St. Gallen | Luzern | 2 | 3
5,18.09.2024,Lausanne,Lugano,18.09.2024 | Lausanne | Lugano | 1 | 2
