round,date,team_home,team_away,full_text
19,09.02.2025,Zalaegerszegi,DVTK,09.02.2025 | Zalaegerszegi | DVTK | 2 | 1
19,08.02.2025,Gyor,Ujpest,08.02.2025 | Gyor | Ujpest | 3 | 0
19,08.02.2025,Paks,Videoton,08.02.2025 | Paks | Videoton | 2 | 0
19,08.02.2025,Nyiregyhaza,Kecskemeti TE,08.02.2025 | Nyiregyhaza | Kecskemeti TE | 0 | 0
19,07.02.2025,MTK Budapest,Debrecen,07.02.2025 | MTK Budapest | Debrecen | 0 | 2
5,05.02.2025,Zalaegerszegi,Ferencvaros,05.02.2025 | Zalaegerszegi | Ferencvaros | 2 | 2
18,02.02.2025,Ferencvaros,MTK Budapest,02.02.2025 | Ferencvaros | MTK Budapest | 0 | 0
18,02.02.2025,Kecskemeti TE,Zalaegerszegi,02.02.2025 | Kecskemeti TE | Zalaegerszegi | 1 | 0
18,02.02.2025,Debrecen,Nyiregyhaza,02.02.2025 | Debrecen | Nyiregyhaza | 3 | 1
18,01.02.2025,DVTK,Ujpest,01.02.2025 | DVTK | Ujpest | 1 | 1
18,01.02.2025,Videoton,Puskas Academy,01.02.2025 | Videoton | Puskas Academy | 1 | 0
18,01.02.2025,Paks,Gyor,01.02.2025 | Paks | Gyor | 1 | 1
17,15.12.2024,Nyiregyhaza,Ferencvaros,15.12.2024 | Nyiregyhaza | Ferencvaros | 0 | 1
17,15.12.2024,Ujpest,Kecskemeti TE,15.12.2024 | Ujpest | Kecskemeti TE | 1 | 1
17,14.12.2024,Puskas Academy,Paks,14.12.2024 | Puskas Academy | Paks | 3 | 1
17,14.12.2024,Gyor,DVTK,14.12.2024 | Gyor | DVTK | 3 | 4
17,14.12.2024,Zalaegerszegi,Debrecen,14.12.2024 | Zalaegerszegi | Debrecen | 2 | 1
17,14.12.2024,MTK Budapest,Videoton,14.12.2024 | MTK Budapest | Videoton | 3 | 2
16,08.12.2024,Ferencvaros,Zalaegerszegi,08.12.2024 | Ferencvaros | Zalaegerszegi | 1 | 0
16,08.12.2024,Debrecen,Ujpest,08.12.2024 | Debrecen | Ujpest | 1 | 2
16,08.12.2024,Videoton,Nyiregyhaza,08.12.2024 | Videoton | Nyiregyhaza | 2 | 0
16,07.12.2024,Paks,MTK Budapest,07.12.2024 | Paks | MTK Budapest | 4 | 2
16,07.12.2024,Puskas Academy,Gyor,07.12.2024 | Puskas Academy | Gyor | 0 | 3
16,07.12.2024,Kecskemeti TE,DVTK,07.12.2024 | Kecskemeti TE | DVTK | 0 | 0
1,05.12.2024,Debrecen,Ferencvaros,05.12.2024 | Debrecen | Ferencvaros | 5 | 4
