round,date,team_home,team_away,full_text
28,06.04.2025,Ajax,NAC Breda,06.04.2025 | Ajax | NAC Breda | 3 | 1
28,06.04.2025,G.A. Eagles,Utrecht,06.04.2025 | G.A. Eagles | Utrecht | 2 | 2
28,06.04.2025,Sparta Rotterdam,Nijmegen,06.04.2025 | Sparta Rotterdam | Nijmegen | 2 | 0
28,06.04.2025,Waalwijk,Heracles,06.04.2025 | Waalwijk | Heracles | 0 | 0
28,05.04.2025,Almere City,Zwolle,05.04.2025 | Almere City | Zwolle | 2 | 2
28,05.04.2025,Groningen,PSV,05.04.2025 | Groningen | PSV | 1 | 3
28,05.04.2025,Twente,Sittard,05.04.2025 | Twente | Sittard | 1 | 1
28,05.04.2025,AZ Alkmaar,Feyenoord,05.04.2025 | AZ Alkmaar | Feyenoord | 0 | 1
28,04.04.2025,Heerenveen,Willem II,04.04.2025 | Heerenveen | Willem II | 3 | 1
25,02.04.2025,Feyenoord,Groningen,02.04.2025 | Feyenoord | Groningen | 4 | 1
25,01.04.2025,AZ Alkmaar,Waalwijk,01.04.2025 | AZ Alkmaar | Waalwijk | 2 | 2
27,30.03.2025,Feyenoord,G.A. Eagles,30.03.2025 | Feyenoord | G.A. Eagles | 3 | 2
27,30.03.2025,Heracles,Twente,30.03.2025 | Heracles | Twente | 2 | 1
27,30.03.2025,PSV,Ajax,30.03.2025 | PSV | Ajax | 0 | 2
27,30.03.2025,Utrecht,Heerenveen,30.03.2025 | Utrecht | Heerenveen | 2 | 0
27,29.03.2025,Nijmegen,AZ Alkmaar,29.03.2025 | Nijmegen | AZ Alkmaar | 3 | 3
27,29.03.2025,Zwolle,Waalwijk,29.03.2025 | Zwolle | Waalwijk | 2 | 0
27,29.03.2025,Sittard,Sparta Rotterdam,29.03.2025 | Sittard | Sparta Rotterdam | 0 | 3
27,29.03.2025,Willem II,Almere City,29.03.2025 | Willem II | Almere City | 0 | 2
27,29.03.2025,NAC Breda,Groningen,29.03.2025 | NAC Breda | Groningen | 1 | 1
26,16.03.2025,Ajax,AZ Alkmaar,16.03.2025 | Ajax | AZ Alkmaar | 2 | 2
26,16.03.2025,Groningen,Sittard,16.03.2025 | Groningen | Sittard | 1 | 0
26,16.03.2025,Twente,Feyenoord,16.03.2025 | Twente | Feyenoord | 2 | 6
26,16.03.2025,G.A. Eagles,Willem II,16.03.2025 | G.A. Eagles | Willem II | 1 | 0
26,15.03.2025,Heerenveen,Heracles,15.03.2025 | Heerenveen | Heracles | 1 | 1
26,15.03.2025,Waalwijk,PSV,15.03.2025 | Waalwijk | PSV | 0 | 3
26,15.03.2025,Sparta Rotterdam,Zwolle,15.03.2025 | Sparta Rotterdam | Zwolle | 1 | 1
26,15.03.2025,Utrecht,Nijmegen,15.03.2025 | Utrecht | Nijmegen | 0 | 1
26,14.03.2025,Almere City,NAC Breda,14.03.2025 | Almere City | NAC Breda | 1 | 1
25,09.03.2025,Twente,Almere City,09.03.2025 | Twente | Almere City | 1 | 0
25,09.03.2025,Nijmegen,G.A. Eagles,09.03.2025 | Nijmegen | G.A. Eagles | 2 | 3
25,09.03.2025,Zwolle,Ajax,09.03.2025 | Zwolle | Ajax | 0 | 1
25,09.03.2025,Willem II,Utrecht,09.03.2025 | Willem II | Utrecht | 2 | 3
25,08.03.2025,PSV,Heerenveen,08.03.2025 | PSV | Heerenveen | 2 | 1
25,08.03.2025,Sittard,Heracles,08.03.2025 | Sittard | Heracles | 1 | 0
25,07.03.2025,NAC Breda,Sparta Rotterdam,07.03.2025 | NAC Breda | Sparta Rotterdam | 1 | 1
24,02.03.2025,Sparta Rotterdam,Willem II,02.03.2025 | Sparta Rotterdam | Willem II | 4 | 0
24,02.03.2025,Almere City,Ajax,02.03.2025 | Almere City | Ajax | 0 | 1
24,02.03.2025,Heracles,Zwolle,02.03.2025 | Heracles | Zwolle | 4 | 2
24,02.03.2025,Heerenveen,AZ Alkmaar,02.03.2025 | Heerenveen | AZ Alkmaar | 3 | 1
24,01.03.2025,Feyenoord,Nijmegen,01.03.2025 | Feyenoord | Nijmegen | 0 | 0
24,01.03.2025,Groningen,Twente,01.03.2025 | Groningen | Twente | 1 | 1
24,01.03.2025,G.A. Eagles,PSV,01.03.2025 | G.A. Eagles | PSV | 3 | 2
24,01.03.2025,Utrecht,NAC Breda,01.03.2025 | Utrecht | NAC Breda | 1 | 0
24,28.02.2025,Waalwijk,Sittard,28.02.2025 | Waalwijk | Sittard | 1 | 2
23,23.02.2025,AZ Alkmaar,Sittard,23.02.2025 | AZ Alkmaar | Sittard | 1 | 0
20,23.02.2025,Ajax,G.A. Eagles,23.02.2025 | Ajax | G.A. Eagles | 2 | 0
20,23.02.2025,Twente,Nijmegen,23.02.2025 | Twente | Nijmegen | 2 | 0
20,22.02.2025,Feyenoord,Almere City,22.02.2025 | Feyenoord | Almere City | 2 | 1
23,16.02.2025,Ajax,Heracles,16.02.2025 | Ajax | Heracles | 4 | 0
23,16.02.2025,Twente,Waalwijk,16.02.2025 | Twente | Waalwijk | 2 | 0
23,16.02.2025,Zwolle,Heerenveen,16.02.2025 | Zwolle | Heerenveen | 1 | 1
23,16.02.2025,Nijmegen,Almere City,16.02.2025 | Nijmegen | Almere City | 2 | 2
23,15.02.2025,Willem II,Groningen,15.02.2025 | Willem II | Groningen | 1 | 3
23,15.02.2025,NAC Breda,Feyenoord,15.02.2025 | NAC Breda | Feyenoord | 0 | 0
23,15.02.2025,PSV,Utrecht,15.02.2025 | PSV | Utrecht | 2 | 2
23,14.02.2025,G.A. Eagles,Sparta Rotterdam,14.02.2025 | G.A. Eagles | Sparta Rotterdam | 1 | 0
22,09.02.2025,AZ Alkmaar,Zwolle,09.02.2025 | AZ Alkmaar | Zwolle | 2 | 0
22,09.02.2025,Heerenveen,Twente,09.02.2025 | Heerenveen | Twente | 3 | 3
22,09.02.2025,Sittard,Ajax,09.02.2025 | Sittard | Ajax | 0 | 2
22,09.02.2025,Waalwijk,NAC Breda,09.02.2025 | Waalwijk | NAC Breda | 5 | 0
22,09.02.2025,Utrecht,Almere City,09.02.2025 | Utrecht | Almere City | 0 | 1
22,08.02.2025,Feyenoord,Sparta Rotterdam,08.02.2025 | Feyenoord | Sparta Rotterdam | 3 | 0
22,08.02.2025,Groningen,Nijmegen,08.02.2025 | Groningen | Nijmegen | 2 | 1
22,08.02.2025,PSV,Willem II,08.02.2025 | PSV | Willem II | 1 | 1
22,08.02.2025,Heracles,G.A. Eagles,08.02.2025 | Heracles | G.A. Eagles | 4 | 2
21,02.02.2025,Willem II,AZ Alkmaar,02.02.2025 | Willem II | AZ Alkmaar | 0 | 2
21,02.02.2025,Sparta Rotterdam,Groningen,02.02.2025 | Sparta Rotterdam | Groningen | 1 | 0
21,02.02.2025,Ajax,Feyenoord,02.02.2025 | Ajax | Feyenoord | 2 | 1
21,02.02.2025,G.A. Eagles,Twente,02.02.2025 | G.A. Eagles | Twente | 2 | 2
21,02.02.2025,Almere City,Waalwijk,02.02.2025 | Almere City | Waalwijk | 1 | 4
21,01.02.2025,Nijmegen,PSV,01.02.2025 | Nijmegen | PSV | 3 | 3
21,01.02.2025,Heerenveen,Sittard,01.02.2025 | Heerenveen | Sittard | 2 | 2
21,01.02.2025,Zwolle,Utrecht,01.02.2025 | Zwolle | Utrecht | 3 | 3
21,31.01.2025,NAC Breda,Heracles,31.01.2025 | NAC Breda | Heracles | 1 | 1
17,28.01.2025,Heracles,Groningen,28.01.2025 | Heracles | Groningen | 1 | 1
20,26.01.2025,AZ Alkmaar,Sparta Rotterdam,26.01.2025 | AZ Alkmaar | Sparta Rotterdam | 1 | 2
20,26.01.2025,Waalwijk,Willem II,26.01.2025 | Waalwijk | Willem II | 2 | 0
20,26.01.2025,Sittard,Zwolle,26.01.2025 | Sittard | Zwolle | 1 | 4
20,25.01.2025,Groningen,Heerenveen,25.01.2025 | Groningen | Heerenveen | 1 | 0
20,25.01.2025,PSV,NAC Breda,25.01.2025 | PSV | NAC Breda | 3 | 2
20,24.01.2025,Heracles,Utrecht,24.01.2025 | Heracles | Utrecht | 1 | 1
19,19.01.2025,Sparta Rotterdam,Waalwijk,19.01.2025 | Sparta Rotterdam | Waalwijk | 1 | 1
19,19.01.2025,Nijmegen,Sittard,19.01.2025 | Nijmegen | Sittard | 4 | 1
19,19.01.2025,Almere City,Heracles,19.01.2025 | Almere City | Heracles | 0 | 2
19,19.01.2025,Heerenveen,Ajax,19.01.2025 | Heerenveen | Ajax | 0 | 2
19,19.01.2025,NAC Breda,Twente,19.01.2025 | NAC Breda | Twente | 2 | 1
19,18.01.2025,G.A. Eagles,Groningen,18.01.2025 | G.A. Eagles | Groningen | 2 | 1
19,18.01.2025,Willem II,Feyenoord,18.01.2025 | Willem II | Feyenoord | 1 | 1
19,18.01.2025,Utrecht,AZ Alkmaar,18.01.2025 | Utrecht | AZ Alkmaar | 0 | 0
19,18.01.2025,Zwolle,PSV,18.01.2025 | Zwolle | PSV | 3 | 1
18,12.01.2025,NAC Breda,Heerenveen,12.01.2025 | NAC Breda | Heerenveen | 2 | 4
18,12.01.2025,Feyenoord,Utrecht,12.01.2025 | Feyenoord | Utrecht | 1 | 2
18,12.01.2025,Groningen,Almere City,12.01.2025 | Groningen | Almere City | 0 | 0
18,12.01.2025,Twente,Willem II,12.01.2025 | Twente | Willem II | 6 | 2
18,11.01.2025,PSV,AZ Alkmaar,11.01.2025 | PSV | AZ Alkmaar | 2 | 2
18,11.01.2025,Zwolle,Nijmegen,11.01.2025 | Zwolle | Nijmegen | 0 | 1
18,11.01.2025,Ajax,Waalwijk,11.01.2025 | Ajax | Waalwijk | 2 | 1
18,11.01.2025,Heracles,Sparta Rotterdam,11.01.2025 | Heracles | Sparta Rotterdam | 1 | 1
18,10.01.2025,Sittard,G.A. Eagles,10.01.2025 | Sittard | G.A. Eagles | 0 | 3
17,22.12.2024,Willem II,Nijmegen,22.12.2024 | Willem II | Nijmegen | 4 | 1
17,22.12.2024,PSV,Feyenoord,22.12.2024 | PSV | Feyenoord | 3 | 0
17,22.12.2024,Utrecht,Sittard,22.12.2024 | Utrecht | Sittard | 2 | 5
17,22.12.2024,Sparta Rotterdam,Ajax,22.12.2024 | Sparta Rotterdam | Ajax | 0 | 2
17,21.12.2024,AZ Alkmaar,Twente,21.12.2024 | AZ Alkmaar | Twente | 1 | 0
17,21.12.2024,Almere City,Heerenveen,21.12.2024 | Almere City | Heerenveen | 3 | 0
17,21.12.2024,G.A. Eagles,NAC Breda,21.12.2024 | G.A. Eagles | NAC Breda | 2 | 1
17,20.12.2024,Waalwijk,Zwolle,20.12.2024 | Waalwijk | Zwolle | 1 | 1
16,15.12.2024,NAC Breda,AZ Alkmaar,15.12.2024 | NAC Breda | AZ Alkmaar | 1 | 2
16,15.12.2024,Ajax,Almere City,15.12.2024 | Ajax | Almere City | 3 | 0
16,15.12.2024,Nijmegen,Sparta Rotterdam,15.12.2024 | Nijmegen | Sparta Rotterdam | 1 | 1
16,15.12.2024,Twente,Groningen,15.12.2024 | Twente | Groningen | 2 | 0
16,15.12.2024,Utrecht,G.A. Eagles,15.12.2024 | Utrecht | G.A. Eagles | 3 | 3
16,14.12.2024,Feyenoord,Heracles,14.12.2024 | Feyenoord | Heracles | 5 | 2
16,14.12.2024,Sittard,Waalwijk,14.12.2024 | Sittard | Waalwijk | 3 | 2
16,14.12.2024,Heerenveen,PSV,14.12.2024 | Heerenveen | PSV | 1 | 0
16,13.12.2024,Zwolle,Willem II,13.12.2024 | Zwolle | Willem II | 0 | 1
15,08.12.2024,Almere City,Utrecht,08.12.2024 | Almere City | Utrecht | 1 | 3
